gene_id,SC1007_mRNA,SC1014_mRNA,SC1015_mRNA,SC1034_mRNA,SC1041_mRNA,SC1055_mRNA,iso_GS_1_mRNA,iso_GS_2_mRNA,iso_MC_1_mRNA,iso_MC_2_mRNA
ENSG00000290825.1,0,0,0,0,0,0,0,3,1,1
ENSG00000223972.6,0,0,0,0,0,0,1,0,0,0
ENSG00000227232.6,0,0,13,10,1,10,86,120,67,81
ENSG00000278267.1,0,0,0,0,0,0,0,2,4,2
ENSG00000243485.5,4,0,2,0,1,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,1,0,0,0,0,0,0,0
ENSG00000238009.7,0,0,0,1,1,0,0,0,0,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,4,0,0,1
ENSG00000268903.1,0,0,0,0,0,0,4,1,1,2
ENSG00000269981.1,0,0,0,0,0,0,0,0,5,1
ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,3,0,0,10,3,7,2,1,3,4
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,1,0,0,0,0,0,10,3,4,4
ENSG00000279457.4,31,31,3,11,11,64,48,37,54,58
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0
ENSG00000292994.1,0,0,0,0,1,0,1,3,4,4
ENSG00000228463.11,0,0,0,0,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,6,7,7,25,3,1,25,23,29,32
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0
ENSG00000293331.1,0,3,1,0,1,0,12,6,6,4
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,3,0,1779,790,2,2,0,0,0,0
ENSG00000225630.1,230,160,439,126,306,368,7,7,2,9
ENSG00000237973.1,442,228,5759,2858,366,480,47,55,43,57
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,45,23,60,32,49,58,0,0,0,0
ENSG00000240409.1,4,2,7,2,8,2,0,0,0,0
ENSG00000248527.1,2080,1434,3234,682,1936,2347,118,103,121,113
ENSG00000198744.5,85164,168,114,79,111,194,1,2,2,4
ENSG00000268663.1,0,0,0,0,0,0,2,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,2,2,0,8
ENSG00000291215.1,9,7,1,12,2,45,37,36,23,46
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,1,0
ENSG00000228327.6,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,52,86,36,24,60,59,45,47,48,60
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0
ENSG00000290784.1,0,0,0,0,1,0,1,0,1,3
ENSG00000230092.8,0,0,0,0,0,0,0,0,0,0
ENSG00000177757.2,8,15,8,4,7,3,1,11,18,6
ENSG00000225880.6,31,26,36,21,18,41,31,33,28,34
ENSG00000228794.12,900,1103,1129,300,890,1167,656,737,654,726
ENSG00000288531.1,2,2,2,0,1,3,9,0,5,7
ENSG00000230368.2,2,0,0,0,0,0,1,0,4,0
ENSG00000234711.1,0,0,0,0,0,0,3,0,1,2
ENSG00000283040.1,0,0,0,0,0,0,2,1,1,2
ENSG00000272438.1,0,12,12,0,4,16,23,27,13,15
ENSG00000230699.2,68,27,146,14,52,133,94,113,109,90
ENSG00000241180.1,0,1,0,0,0,0,2,2,0,2
ENSG00000223764.2,327,153,411,78,342,271,417,516,248,267
ENSG00000187634.13,1105,842,895,321,1530,1419,1474,2162,934,965
ENSG00000188976.11,1225,1497,1059,587,1205,1282,1833,2072,2163,2486
ENSG00000187961.15,178,241,136,87,204,260,167,192,163,177
ENSG00000187583.11,7,5,3,0,7,0,10,5,7,3
ENSG00000187642.10,2,1,3,1,10,2,1,2,1,2
ENSG00000272512.1,9,21,2,0,0,17,5,7,3,4
ENSG00000188290.11,267,404,504,381,401,632,289,311,289,299
ENSG00000187608.10,585,218,213,180,712,152,71,83,32,63
ENSG00000231702.2,0,0,0,0,1,0,0,0,0,1
ENSG00000224969.1,0,1,0,4,7,0,2,3,0,1
ENSG00000188157.15,1130,960,1456,233,1057,1816,3401,3958,3382,3181
ENSG00000242590.1,0,0,0,0,0,0,0,0,0,0
ENSG00000291156.1,469,438,446,492,624,746,70,66,47,66
ENSG00000273443.1,9,60,3,15,5,16,4,15,6,4
ENSG00000217801.13,8,17,11,4,13,15,23,14,5,10
ENSG00000237330.3,9,0,1,3,2,5,2,3,6,3
ENSG00000131591.18,123,117,120,67,110,190,185,200,246,242
ENSG00000285812.1,1,5,2,0,1,10,1,4,2,3
ENSG00000223823.1,0,0,0,0,0,0,1,0,4,1
ENSG00000207730.3,0,0,0,0,0,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,1,0,2,0,1,0
ENSG00000198976.1,4,0,0,0,0,0,0,0,0,0
ENSG00000272141.1,6,0,2,0,3,0,5,1,0,6
ENSG00000205231.1,1,0,2,1,1,23,9,14,18,17
ENSG00000162571.14,19,0,0,0,3,16,29,36,25,20
ENSG00000186891.14,13,3,0,0,4,0,7,0,2,2
ENSG00000186827.12,0,6,2,0,0,3,7,1,3,1
ENSG00000078808.20,4686,3429,1653,1001,3487,4650,2584,2857,2280,2676
ENSG00000176022.7,1603,1995,1433,674,1769,2694,1439,1613,1341,1544
ENSG00000184163.3,2,2,2,3,7,2,15,13,8,9
ENSG00000260179.1,0,0,3,8,2,0,2,2,6,3
ENSG00000160087.21,1066,974,747,512,986,1289,754,890,888,1051
ENSG00000230415.1,1,0,0,0,2,0,10,15,8,9
ENSG00000162572.21,44,8,32,15,40,14,48,47,53,32
ENSG00000131584.19,1147,1248,1401,475,1240,1865,851,899,1111,1193
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.13,174,169,124,85,152,152,144,169,129,152
ENSG00000127054.22,1164,1219,965,554,1191,1315,1013,1221,1097,1141
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,17,32,22,0,16,20,28,36,26,35
ENSG00000224051.7,352,310,236,103,307,505,320,407,313,347
ENSG00000169962.5,30,26,20,5,22,26,18,23,41,25
ENSG00000107404.21,1899,1937,1301,456,1818,2274,1635,1885,1618,1819
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,1273,1201,439,286,1213,909,402,508,356,376
ENSG00000175756.14,2098,2254,1346,1396,2168,1833,1244,1367,1277,1464
ENSG00000223663.2,5,17,0,2,2,3,0,1,1,0
ENSG00000221978.13,1724,1443,1177,1192,1371,2270,1480,1540,1683,1824
ENSG00000224870.9,1293,1104,668,751,1160,1393,699,741,674,800
ENSG00000242485.6,4456,6262,3000,3756,4592,5284,1037,1202,1075,1262
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,89,49,86,70,85,180,73,76,55,62
ENSG00000235098.9,276,21,24,8,442,146,32,35,19,26
ENSG00000225905.1,4,0,4,0,2,3,0,0,2,1
ENSG00000205116.4,72,44,26,24,147,50,15,11,21,20
ENSG00000225285.1,7,7,6,2,24,4,3,5,7,6
