Run,comparison,condition
SRR36692424,GBA1 +/+,Control
SRR36692425,GBA1 +/+,Control
SRR36692426,GBA1 +/+,Control
SRR36692427,GBA1 IVS/IVS,Mutant
SRR36692428,GBA1 IVS/IVS,Mutant
SRR36692429,GBA1 IVS/IVS,Mutant
SRR36692433,GBA1 IVS/+,Mutant
SRR36692434,GBA1 IVS/+,Mutant
SRR36692435,GBA1 IVS/+,Mutant
SRR36692440,GBA1 IVS/+,Mutant
SRR36692441,GBA1 IVS/+,Mutant
SRR36692445,GBA1 +/+,Control
SRR36692446,GBA1 +/+,Control
SRR36692447,GBA1 +/+,Control
SRR36692448,GBA1 IVS/+,Mutant
SRR36692449,GBA1 IVS/+,Mutant
SRR36692450,GBA1 IVS/+,Mutant
SRR36692454,GBA1 IVS/+,Mutant
SRR36692455,GBA1 IVS/+,Mutant
SRR36692456,GBA1 IVS/+,Mutant
SRR36692460,GBA1 +/+,Control
SRR36692461,GBA1 +/+,Control
SRR36692462,GBA1 +/+,Control
SRR36692469,GBA1 +/+,Control
SRR36692470,GBA1 +/+,Control
