"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6","WASH7P",39.5295317058204,0.0466443578157235,0.325542075266892,0.143282117303831,0.886067378428025,0.945877693762685
"ENSG00000243485.5","MIR1302-2HG",0.948101639196377,0.970720078100396,1.28586242493966,0.754917524046903,0.450298470409807,NA
"ENSG00000268903.1","ENSG00000268903",0.494476064409118,-1.59449563353041,1.73449955519896,-0.919282814890956,0.357947664154981,NA
"ENSG00000269981.1","ENSG00000269981",1.15160958998422,-1.07822982397627,1.6672733481805,-0.646702488918776,0.517824511959661,0.728541619628249
"ENSG00000241860.7","ENSG00000241860",1.31230547306528,0.297308756186363,1.07950139313116,0.275413036127726,0.782998929837131,0.894771246801505
"ENSG00000279928.2","DDX11L17",0.423572226903491,0.679058870991417,1.62841677984909,0.417005572157237,0.676674332003536,NA
"ENSG00000279457.4","WASH9P",15.3061878019715,0.453470390431802,0.472384267233508,0.959960824028977,0.33707493212727,0.57640327726438
"ENSG00000292994.1","ENSG00000292994",29.4187607181167,1.43432838847931,0.344211616580951,4.16699588098296,3.08640072466975e-05,0.000693666452750527
"ENSG00000286448.1","ENSG00000286448",3.68050750639139,0.312072139055281,0.758828906103153,0.411254943697228,0.680885603906271,0.835343547909872
"ENSG00000290385.1","ENSG00000290385",2.82481284530616,-0.0402738815915889,0.701533167170811,-0.0574083785004892,0.954219888933073,0.97831322123753
"ENSG00000293331.1","ENSG00000293331",37.6847804495741,0.223903539605892,0.217932925622904,1.02739656692958,0.30423376739264,0.54611456389265
"ENSG00000225630.1","MTND2P28",47.3312714002419,0.0847881698001522,0.205347911686081,0.412900083102717,0.679679820192008,0.834661850218357
"ENSG00000237973.1","MTCO1P12",173.938995868579,0.637320076070069,0.199129763931726,3.20052644811341,0.00137176779167089,0.0136155132462343
"ENSG00000278791.1","ENSG00000278791",1.82370339546273,0.850918229224144,0.864859434259418,0.983880380460656,0.325174331358576,0.565094562066669
"ENSG00000229344.1","MTCO2P12",1.91971918858358,1.61512344484097,0.948246466072019,1.70327388778089,0.0885168248724845,0.256630093747778
"ENSG00000248527.1","MTATP6P1",1175.68457474587,0.241998054582553,0.167467243163554,1.44504710300993,0.148444655478082,0.355710271242308
"ENSG00000198744.5","MTCO3P12",1.48726808403502,0.0606066311903882,0.810890276724269,0.074740853269593,0.940420902349547,0.972023411317703
"ENSG00000291215.1","ENSG00000291215",2.47705462799528,-0.819136567630794,0.660243634917209,-1.24065803032468,0.214732104759071,0.444929829635674
"ENSG00000237491.10","LINC01409",16.4966633905279,-0.206227793400685,0.27296855004372,-0.755500197248562,0.44994891401303,0.677165326071894
"ENSG00000290784.1","ENSG00000290784",2.16978727968535,1.32829213566804,0.909667006670004,1.46019601230838,0.144236210973548,0.349669988353278
"ENSG00000177757.2","FAM87B",26.2535891958957,-0.217482678249687,0.657635415020327,-0.330704024269989,0.740868062261653,0.870602072115773
"ENSG00000225880.6","LINC00115",5.29538580196825,-0.113479343509518,0.578836980685137,-0.196047155410145,0.844573257389905,0.9268652034607
"ENSG00000228794.12","LINC01128",514.69801246158,-0.125054720278907,0.120984386720781,-1.03364346151144,0.301302873463901,0.543425189850218
"ENSG00000288531.1","ENSG00000288531",1.08783813174678,1.54517766943413,1.52718749332136,1.0117799393928,0.311643283693622,0.553212265783443
"ENSG00000272438.1","ENSG00000272438",7.13115527337982,-0.28688246452142,0.614813825974397,-0.466616807237133,0.640774059972949,0.810126888294604
