Run,Donor,genotype,source_name,comparison,condition
SRR11652312,Triplication SNCA,Triplication SNCA,Triplication SNCA_NSC,NSC,Control
SRR11652313,Triplication SNCA,Triplication SNCA,Triplication SNCA_WTPFF,WTPFF,Aggregation
SRR11652314,Triplication SNCA,Triplication SNCA,Triplication SNCA_PDamp,PDamp,Aggregation
SRR11652315,Triplication SNCA,Triplication SNCA,Triplication SNCA_MSAamp,MSAamp,Aggregation
SRR11652316,Triplication SNCA,Triplication SNCA,Triplication SNCA_NSC,NSC,Control
SRR11652317,Triplication SNCA,Triplication SNCA,Triplication SNCA_WTPFF,WTPFF,Aggregation
SRR11652318,Triplication SNCA,Triplication SNCA,Triplication SNCA_PDamp,PDamp,Aggregation
SRR11652319,Triplication SNCA,Triplication SNCA,Triplication SNCA_MSAamp,MSAamp,Aggregation
SRR11652320,Triplication SNCA,Triplication SNCA,Triplication SNCA_NSC,NSC,Control
SRR11652321,Triplication SNCA,Triplication SNCA,Triplication SNCA_WTPFF,WTPFF,Aggregation
SRR11652322,Triplication SNCA,Triplication SNCA,Triplication SNCA_PDamp,PDamp,Aggregation
SRR11652323,Triplication SNCA,Triplication SNCA,Triplication SNCA_MSAamp,MSAamp,Aggregation
SRR11652324,AH17,Control,Control_NSC,NSC,Control
SRR11652325,AH17,Control,Control_WTPFF,WTPFF,Aggregation
SRR11652326,AH17,Control,Control_PDamp,PDamp,Aggregation
SRR11652327,AH17,Control,Control_MSAamp,MSAamp,Aggregation
SRR11652328,OX3,Control,Control_NSC,NSC,Control
SRR11652329,OX3,Control,Control_WTPFF,WTPFF,Aggregation
SRR11652330,OX3,Control,Control_PDamp,PDamp,Aggregation
SRR11652331,OX3,Control,Control_MSAamp,MSAamp,Aggregation
SRR11652332,SFC840,Control,Control_NSC,NSC,Control
SRR11652333,SFC840,Control,Control_WTPFF,WTPFF,Aggregation
SRR11652334,SFC840,Control,Control_PDamp,PDamp,Aggregation
SRR11652335,SFC840,Control,Control_MSAamp,MSAamp,Aggregation
