gene_id,gene_symbol,SC1007_mRNA,SC1014_mRNA,SC1015_mRNA,SC1034_mRNA,SC1041_mRNA,SC1055_mRNA,iso_GS_1_mRNA,iso_GS_2_mRNA,iso_MC_1_mRNA,iso_MC_2_mRNA
ENSG00000290825.1,DDX11L2,0,0,0,0,0,0,0,3,1,1
ENSG00000223972.6,DDX11L1,0,0,0,0,0,0,1,0,0,0
ENSG00000227232.6,WASH7P,0,0,13,10,1,10,86,120,67,81
ENSG00000278267.1,MIR6859-1,0,0,0,0,0,0,0,2,4,2
ENSG00000243485.5,MIR1302-2HG,4,0,2,0,1,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,ENSG00000290826,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,OR4G11P,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,OR4F5,0,0,1,0,0,0,0,0,0,0
ENSG00000238009.7,ENSG00000238009,0,0,0,1,1,0,0,0,0,0
ENSG00000239945.1,ENSG00000239945,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,CICP27,0,0,0,0,0,0,4,0,0,1
ENSG00000268903.1,ENSG00000268903,0,0,0,0,0,0,4,1,1,2
ENSG00000269981.1,ENSG00000269981,0,0,0,0,0,0,0,0,5,1
ENSG00000239906.1,ENSG00000239906,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,ENSG00000241860,3,0,0,10,3,7,2,1,3,4
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,ENSG00000241599,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,DDX11L17,1,0,0,0,0,0,10,3,4,4
ENSG00000279457.4,WASH9P,31,31,3,11,11,64,48,37,54,58
ENSG00000273874.1,MIR6859-2,0,0,0,0,0,0,0,0,0,0
ENSG00000292994.1,ENSG00000292994,0,0,0,0,1,0,1,3,4,4
ENSG00000228463.11,ENSG00000228463,0,0,0,0,0,0,0,0,0,0
ENSG00000286448.1,ENSG00000286448,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,RPL23AP24,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,ENSG00000236601,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,ENSG00000290385,6,7,7,25,3,1,25,23,29,32
ENSG00000269732.1,WBP1LP7,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,OR4F29,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,ENSG00000237094,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,ENSG00000250575,0,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,U6,0,0,0,0,0,0,0,0,0,0
ENSG00000293331.1,ENSG00000293331,0,3,1,0,1,0,12,6,6,4
ENSG00000235146.2,ENSG00000235146,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,MTND1P23,3,0,1779,790,2,2,0,0,0,0
ENSG00000225630.1,MTND2P28,230,160,439,126,306,368,7,7,2,9
ENSG00000237973.1,MTCO1P12,442,228,5759,2858,366,480,47,55,43,57
ENSG00000278791.1,ENSG00000278791,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,MTCO2P12,45,23,60,32,49,58,0,0,0,0
ENSG00000240409.1,MTATP8P1,4,2,7,2,8,2,0,0,0,0
ENSG00000248527.1,MTATP6P1,2080,1434,3234,682,1936,2347,118,103,121,113
ENSG00000198744.5,MTCO3P12,85164,168,114,79,111,194,1,2,2,4
ENSG00000268663.1,WBP1LP6,0,0,0,0,0,0,2,0,0,0
ENSG00000284662.2,OR4F16,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.11,ENSG00000230021,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,CICP3,0,0,0,0,0,0,2,2,0,8
ENSG00000291215.1,ENSG00000291215,9,7,1,12,2,45,37,36,23,46
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,ENSG00000229905,0,0,0,0,0,0,0,0,1,0
ENSG00000228327.6,ENSG00000228327,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,LINC01409,52,86,36,24,60,59,45,47,48,60
ENSG00000285268.1,ENSG00000285268,0,0,0,0,0,0,0,0,0,0
