gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,UP/DOWN,abs_log2FC
ENSG00000161671.17,EMC10,1845.178653037923,7.413037785274285,0.2416119669138498,5.30055958219519e-207,9.58659206035822e-203,Up,7.413037785274285
ENSG00000187601.5,MAGEH1,1350.448066554997,-4.305085187397903,0.1476732481246559,6.239772436208286e-188,5.642626214063152e-184,Down,4.305085187397903
ENSG00000131409.13,LRRC4B,1627.97809644213,7.645484354376892,0.2728527926606054,1.108414630133491e-172,6.682262333531439e-169,Up,7.645484354376892
ENSG00000206538.9,VGLL3,1145.702770774542,-4.230745378929567,0.1541600591521964,1.069065997605402e-166,4.833781908172826e-163,Down,4.230745378929567
ENSG00000287080.2,H3C3,757.0713150012984,5.075650867617632,0.2131948998088096,2.661877719634455e-126,9.628544087461752e-123,Up,5.075650867617632
ENSG00000159176.14,CSRP1,649.7876180637556,5.072347288873246,0.2141469041987791,1.518169432954425e-124,4.576268727402287e-121,Up,5.072347288873246
ENSG00000081665.14,ZNF506,598.9234142266465,5.064950931898312,0.2167780874066693,1.810432256678245e-121,4.677639684897534e-118,Up,5.064950931898312
ENSG00000186340.17,THBS2,973.411812576482,-2.957501824895096,0.1420490813035705,1.790699258645305e-97,4.048323348982374e-94,Down,2.957501824895096
ENSG00000276410.4,H2BC3,494.9983091854027,4.612062948341457,0.2261173985883397,1.396811948789137e-93,2.806971211755592e-90,Up,4.612062948341457
ENSG00000130226.18,DPP6,796.199445141968,2.9687376582903,0.1501035464942389,3.715942591185693e-88,6.720653770418444e-85,Up,2.9687376582903
ENSG00000130600.22,H19,1264.316799051191,2.65380532710332,0.1490897491296377,5.037330126501243e-72,8.28228660617286e-69,Up,2.65380532710332
ENSG00000184486.10,POU3F2,2169.335381128504,-2.577182545138565,0.1460100657846448,5.286004111498857e-71,7.966889196714027e-68,Down,2.577182545138565
ENSG00000189056.15,RELN,2860.14178685749,1.754796423596516,0.0999978975268974,4.028480061248434e-70,5.604545414441476e-67,Up,1.754796423596516
ENSG00000152192.8,POU4F1,492.3035725615284,-3.345112992815227,0.1955284506534319,7.8387475871334e-67,1.012654206149248e-63,Down,3.345112992815227
ENSG00000196172.9,ZNF681,305.06662091381,4.275013237880077,0.2512724463652495,9.640958185113037e-66,1.162442464906363e-62,Up,4.275013237880077
ENSG00000132688.11,NES,7599.113999649341,-1.516738803659325,0.0905073536697913,3.112397856483006e-64,3.518176727021978e-61,Down,1.516738803659325
ENSG00000154734.16,ADAMTS1,1129.502431954377,1.998922338620392,0.1229412575016218,1.142991230759041e-60,1.216008199971059e-57,Up,1.998922338620392
ENSG00000178033.6,CALHM5,313.0344627320159,-3.388142281654572,0.2206171431826448,2.428991780539866e-54,2.440596963491335e-51,Down,3.388142281654572
