gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000112619.8,PRPH2,96.50592199989876,-5.922929900045868,0.5766661723384415,4.526592427961765e-25,7.928779296817828e-21
ENSG00000293514.1,CUTALP,679.2501422975213,-1.105571953154333,0.1197409813366198,1.443354356842704e-21,6.320448728614202e-18
ENSG00000115414.21,FN1,480.1581076483996,-2.639766943927018,0.3381173537924915,2.795204896180081e-16,8.160134826915054e-13
ENSG00000183793.14,NPIPA5,41.37664768892128,-3.193580386115347,0.4575817410477521,1.96257948559003e-13,2.644349405353459e-10
ENSG00000213025.2,COX20P1,47.61166421150735,-6.308101731168457,0.8993192633747263,1.34116929040855e-12,1.394380659100428e-9
ENSG00000291258.1,ENSG00000291258,60.18889408901676,-4.464413008255685,0.6787059871918484,2.898987420600677e-12,2.538933182962073e-9
ENSG00000183682.8,BMP8A,210.8089613320778,-2.047898777533928,0.3248396662690578,1.315659269665625e-11,9.60211990310962e-9
ENSG00000146707.15,POMZP3,300.1619321416958,-1.172345978375889,0.2003773977303705,2.341508780305947e-10,1.323027993414161e-7
ENSG00000275993.4,ENSG00000275993,437.5514249966475,-1.994306241198246,0.3468501289625284,3.95783140869857e-10,2.06189238586888e-7
ENSG00000110841.14,PPFIBP1,712.5290435461412,-0.6527881543749023,0.115408231887312,9.465924566552924e-10,4.219904022363893e-7
ENSG00000112763.17,BTN2A1,1436.218212713742,-0.6318250786872336,0.1127446580654484,1.29798877722599e-9,5.287342191137311e-7
ENSG00000198840.2,MT-ND3,3173.218901126292,-0.5034128716217289,0.0908702436776063,2.217396578918993e-9,8.558267870801691e-7
ENSG00000112852.7,PCDHB2,2050.85992099248,-1.17318119932062,0.2148727740667955,2.247546940265345e-9,8.558267870801691e-7
ENSG00000245105.4,A2M-AS1,122.4667167418375,-2.148333641603948,0.3979487840885958,2.869472921827037e-9,1.069397610611115e-6
ENSG00000148143.13,ZNF462,1745.896405430522,-0.4461965649723142,0.0820785847850242,4.628357560752751e-9,1.621406220682904e-6
ENSG00000242419.6,PCDHGC4,829.1044866600348,-0.7238333292341007,0.140161235783366,1.339866484301541e-8,3.725254180797746e-6
ENSG00000092199.19,HNRNPC,7848.237139731617,-0.3585872163927827,0.0722290705548421,3.658652056628386e-8,9.0260492146342e-6
ENSG00000205929.11,C21orf62,631.9567079362351,-0.5877781738766649,0.1202908688729582,6.493518325339129e-8,0.00001496585091929476
ENSG00000116857.17,TMEM9,3288.259220912076,-0.3792219334046153,0.0820085398740521,3.722682976548091e-7,0.00006653726022164935
ENSG00000073969.19,NSF,5757.336877746036,-0.2778874793236652,0.0596763219611877,5.082077449735861e-7,0.0000852088030065172
ENSG00000128335.14,APOL2,378.1317623976304,-1.256801363149236,0.30178907322763,1.32280075865159e-6,0.0001915863988392098
ENSG00000235437.10,LINC01278,1153.230609368983,-0.3938608106709674,0.0928100289132224,1.906740179999672e-6,0.0002609254765068301
ENSG00000158109.15,TPRG1L,2127.104739121609,-0.4028198017559522,0.0962396374162859,2.526977743717312e-6,0.0003344106086722991
ENSG00000159445.13,THEM4,865.1011534659408,-0.5246360336006473,0.1289172276992085,3.079952714393635e-6,0.0004026003861590964
ENSG00000047621.12,C12orf4,825.3086717482512,-0.4393139016720015,0.1079220860481302,3.700671721542787e-6,0.0004663378839895213
ENSG00000106682.16,EIF4H,6319.615705401647,-0.2743451822231325,0.0662313839950692,5.360174163767638e-6,0.000630126245990295
ENSG00000123965.13,PMS2P5,35.22282075119716,-2.383110976251102,0.6247952086244918,5.648299861994809e-6,0.0006508922393598755
ENSG00000116833.14,NR5A2,139.6401045055562,-0.0560587154846138,0.1454981891040819,5.746991245373346e-6,0.0006579365925095395
ENSG00000213719.8,CLIC1,2542.716995504654,-0.5622176906850908,0.1447634467771417,6.131229378525114e-6,0.0006973676220405578
ENSG00000197894.12,ADH5,3005.961750274031,-0.2926151764092001,0.0715852002163302,6.179922491519289e-6,0.0006983711120093669
ENSG00000185065.6,UFD1-AS1,62.00388606548896,-1.225501012745697,0.3292474699156135,8.485446245717432e-6,0.0008999568214441775
ENSG00000160200.18,CBS,281.0456165885959,-0.6997147919837559,0.1866304658068194,8.991238857690331e-6,0.0009318966853923304
ENSG00000204438.11,GPANK1,364.8089430777567,-0.5801003657610727,0.1543657903520328,9.959674385025277e-6,0.0009912139575460382
ENSG00000144712.13,CAND2,385.4863010974353,-0.6368783533937503,0.170873725850464,0.00001037877065625676,0.0010128678515339
