Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,source_name,SRA Study,treatment_condition/type,treatment
SRR11652312,RNA-Seq,302,7601218596,PRJNA629496,SAMN14777079,2618850457,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213385,Triplication SNCA,GSM4506208,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:25:00Z,1,GSM4506208,Triplication SNCA_NSC,SRP259307,NSC,Control
SRR11652313,RNA-Seq,302,9548033510,PRJNA629496,SAMN14777078,3307573260,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Triplication SNCA,SRX8213386,Triplication SNCA,GSM4506209,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:29:00Z,1,GSM4506209,Triplication SNCA_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652314,RNA-Seq,302,8055008628,PRJNA629496,SAMN14777073,2777055001,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Triplication SNCA,SRX8213387,Triplication SNCA,GSM4506210,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:27:00Z,1,GSM4506210,Triplication SNCA_PDamp,SRP259307,PDamp,Aggregation
SRR11652315,RNA-Seq,302,8401788886,PRJNA629496,SAMN14777072,2897049173,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213388,Triplication SNCA,GSM4506211,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:32:00Z,1,GSM4506211,Triplication SNCA_MSAamp,SRP259307,MSAamp,Aggregation
SRR11652316,RNA-Seq,302,8400834566,PRJNA629496,SAMN14777071,2906408095,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Triplication SNCA,SRX8213389,Triplication SNCA,GSM4506212,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:26:00Z,1,GSM4506212,Triplication SNCA_NSC,SRP259307,NSC,Control
SRR11652317,RNA-Seq,302,9870762488,PRJNA629496,SAMN14777070,3472758071,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213390,Triplication SNCA,GSM4506213,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:35:00Z,1,GSM4506213,Triplication SNCA_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652318,RNA-Seq,302,10695267486,PRJNA629496,SAMN14777114,3710066765,iPSC-derived midbrain dopaminergic neurons,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213391,Triplication SNCA,GSM4506214,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:42:00Z,1,GSM4506214,Triplication SNCA_PDamp,SRP259307,PDamp,Aggregation
SRR11652319,RNA-Seq,302,10123999454,PRJNA629496,SAMN14777113,3559971550,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213392,Triplication SNCA,GSM4506215,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:35:00Z,1,GSM4506215,Triplication SNCA_MSAamp,SRP259307,MSAamp,Aggregation
SRR11652320,RNA-Seq,302,10580836062,PRJNA629496,SAMN14777112,3666483574,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Triplication SNCA,SRX8213393,Triplication SNCA,GSM4506216,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:27:00Z,1,GSM4506216,Triplication SNCA_NSC,SRP259307,NSC,Control
SRR11652321,RNA-Seq,302,7135944712,PRJNA629496,SAMN14777111,2503796253,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Triplication SNCA,SRX8213394,Triplication SNCA,GSM4506217,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:24:00Z,1,GSM4506217,Triplication SNCA_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652322,RNA-Seq,302,7865284376,PRJNA629496,SAMN14777101,2748426304,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Triplication SNCA,SRX8213395,Triplication SNCA,GSM4506218,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:24:00Z,1,GSM4506218,Triplication SNCA_PDamp,SRP259307,PDamp,Aggregation
