Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR11652312	49791166.0	517820.0	6444.0	nan	23766.0	0.0
SRR11652313	62441808.0	718062.0	7872.0	nan	64268.0	0.0
SRR11652314	52791666.0	519398.0	6712.0	nan	26652.0	0.0
SRR11652315	54985992.0	599216.0	7052.0	nan	48726.0	0.0
SRR11652316	54965240.0	611740.0	7180.0	nan	50506.0	0.0
SRR11652317	64333816.0	915516.0	8098.0	nan	111858.0	0.0
SRR11652318	69974268.0	769222.0	8918.0	nan	77178.0	0.0
SRR11652319	66023616.0	928714.0	8528.0	nan	85496.0	0.0
SRR11652320	69142966.0	808286.0	8820.0	nan	111690.0	0.0
SRR11652321	46642070.0	557226.0	5742.0	nan	52874.0	0.0
SRR11652322	51435404.0	602482.0	6756.0	nan	43334.0	0.0
SRR11652323	46130160.0	533240.0	6138.0	nan	33138.0	0.0
SRR11652324	58106746.0	590076.0	7754.0	nan	46602.0	0.0
SRR11652325	59758542.0	802660.0	7524.0	nan	66266.0	0.0
SRR11652326	59854076.0	957770.0	7510.0	nan	78200.0	0.0
SRR11652327	65877976.0	779898.0	8370.0	nan	76130.0	0.0
SRR11652328	56065608.0	699244.0	7226.0	nan	59262.0	0.0
SRR11652329	65848470.0	825714.0	8256.0	nan	73848.0	0.0
SRR11652330	64791138.0	795452.0	8142.0	nan	60956.0	0.0
SRR11652331	65346444.0	694248.0	8336.0	nan	64576.0	0.0
SRR11652332	54319394.0	626816.0	7104.0	nan	53344.0	0.0
SRR11652333	50832082.0	619786.0	6604.0	nan	40688.0	0.0
SRR11652334	55269362.0	733090.0	7086.0	nan	49008.0	0.0
SRR11652335	61188042.0	663956.0	7992.0	nan	85268.0	0.0
