Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
SRR11652312	9.109169999999999	90.1368	6765.042259	49.791166	48.533	98.911325480844	0.675302799830176	151.0	151.0
SRR11652313	10.5208	89.9327	8456.63962	62.441807999999995	48.192299999999996	98.75031333022626	1.4701398864277762	151.0	151.0
SRR11652314	9.94336	90.1718	7172.308325	52.791666	48.192800000000005	98.96378680824921	0.9891492322309651	151.0	151.0
SRR11652315	10.572	90.1017	7461.574815	54.985991999999996	48.2418	98.82282100464575	1.411840545025568	151.0	151.0
SRR11652316	9.36399	89.95870000000001	7447.081217	54.965239999999994	48.131800000000005	98.7967466183764	1.3953943751545124	151.0	151.0
SRR11652317	10.1666	89.1021	8628.719697999999	64.333816	48.4958	98.41596561369921	1.7200569784391717	151.0	151.0
SRR11652318	11.9564	89.8605	9468.517944	69.974268	48.1657	98.79242835049185	1.489672691295979	151.0	151.0
SRR11652319	11.8346	89.125	8860.929869	66.023616	48.418099999999995	98.47458073559078	1.4372936670053678	151.0	151.0
SRR11652320	13.501	89.9085	9357.747597	69.142966	48.4084	98.67450742854162	1.7053274612960352	151.0	151.0
SRR11652321	8.00147	89.3498	6277.159447999999	46.64207	48.0833	98.69684890013761	1.3504299555172898	151.0	151.0
SRR11652322	8.881920000000001	89.46079999999999	6932.971823	51.435404	48.0748	98.74717343595766	1.1050899731638641	151.0	151.0
SRR11652323	7.9016	89.6052	6226.98412	46.13016	48.3402	98.77412591946552	1.1750932644630472	151.0	151.0
SRR11652324	10.585700000000001	90.26180000000001	7897.5921149999995	58.106745999999994	48.3618	98.90311646176696	1.3977115488646032	151.0	151.0
SRR11652325	9.568859999999999	88.9816	8012.026696999999	59.758542	48.2211	98.55454751276292	1.0667008911290035	151.0	151.0
SRR11652326	8.89672	88.43299999999999	7970.432371	59.854076	48.0668	98.28649937938397	1.420434672287998	151.0	151.0
SRR11652327	14.1763	89.9593	8923.645808	65.877976	48.2901	98.70487375831132	1.5140171669650229	151.0	151.0
SRR11652328	8.562949999999999	89.1692	7531.717126	56.065608	47.9288	98.65262371079056	1.2415983856794508	151.0	151.0
SRR11652329	9.94078	89.42790000000001	8869.679096	65.84846999999999	47.8213	98.6401011392365	1.2451980553502318	151.0	151.0
SRR11652330	9.88787	89.515	8736.99999	64.791138	47.871900000000004	98.68320624406525	1.2667447792185194	151.0	151.0
SRR11652331	9.75086	89.4562	8804.300688	65.34644399999999	48.0858	98.83963367055289	1.371682899029374	151.0	151.0
SRR11652332	9.50216	89.6208	7330.700653	54.319393999999996	47.971799999999995	98.75058033883826	1.4957516597354452	151.0	151.0
SRR11652333	9.39762	89.3024	6836.689531	50.832082	48.6993	98.70468178510096	1.3258488099611723	151.0	151.0
SRR11652334	8.62437	88.802	7395.402145	55.269362	47.6599	98.59221464645195	1.1481353797510196	151.0	151.0
SRR11652335	10.857600000000001	90.0496	8298.429527999999	61.188041999999996	47.7702	98.7776045746714	1.4285645561440716	151.0	151.0
