ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	42/672	321/18870	3.0336168033177403e-13	5.944113423527032e-10	4.677917587168874e-10	PRICKLE1/SULF1/ELN/DDR2/BMP2/SLC39A8/PDGFRA/NDNF/WDR72/NID2/FERMT1/ADTRP/COL18A1/EGFL6/COL8A2/COLGALT2/GREM1/ZNF469/ADAMTS8/AGT/COL2A1/MMP19/MMP14/COL15A1/CCN1/CRISPLD2/HMCN1/COL7A1/ADAMTS12/MFAP4/COL4A6/POSTN/AEBP1/LOX/COL5A1/COL12A1/COL1A1/COL8A1/FAP/ADAMTSL4/SPINK5/WNT3A	42
GO:0043062	extracellular structure organization	42/672	322/18870	3.373729457152159e-13	5.944113423527032e-10	4.677917587168874e-10	PRICKLE1/SULF1/ELN/DDR2/BMP2/SLC39A8/PDGFRA/NDNF/WDR72/NID2/FERMT1/ADTRP/COL18A1/EGFL6/COL8A2/COLGALT2/GREM1/ZNF469/ADAMTS8/AGT/COL2A1/MMP19/MMP14/COL15A1/CCN1/CRISPLD2/HMCN1/COL7A1/ADAMTS12/MFAP4/COL4A6/POSTN/AEBP1/LOX/COL5A1/COL12A1/COL1A1/COL8A1/FAP/ADAMTSL4/SPINK5/WNT3A	42
GO:0045229	external encapsulating structure organization	42/672	323/18870	3.7502292892915024e-13	5.944113423527032e-10	4.677917587168874e-10	PRICKLE1/SULF1/ELN/DDR2/BMP2/SLC39A8/PDGFRA/NDNF/WDR72/NID2/FERMT1/ADTRP/COL18A1/EGFL6/COL8A2/COLGALT2/GREM1/ZNF469/ADAMTS8/AGT/COL2A1/MMP19/MMP14/COL15A1/CCN1/CRISPLD2/HMCN1/COL7A1/ADAMTS12/MFAP4/COL4A6/POSTN/AEBP1/LOX/COL5A1/COL12A1/COL1A1/COL8A1/FAP/ADAMTSL4/SPINK5/WNT3A	42
GO:0071772	response to BMP	29/672	179/18870	7.888052054628416e-12	7.501537503951624e-9	5.9035842219376886e-9	NOG/SULF1/SKOR2/BMP2/PHOX2B/GATA3/HIVEP1/EGR1/FBN1/MSX1/BMP4/SOST/NFIA/GREM1/FSTL5/TFAP2B/COL2A1/CCN1/PCSK6/ZNF8/WNT1/SMAD6/RGMB/ADAMTS12/SKOR1/GDF6/LEF1/HTRA3/DLX1	29
GO:0071773	cellular response to BMP stimulus	29/672	179/18870	7.888052054628416e-12	7.501537503951624e-9	5.9035842219376886e-9	NOG/SULF1/SKOR2/BMP2/PHOX2B/GATA3/HIVEP1/EGR1/FBN1/MSX1/BMP4/SOST/NFIA/GREM1/FSTL5/TFAP2B/COL2A1/CCN1/PCSK6/ZNF8/WNT1/SMAD6/RGMB/ADAMTS12/SKOR1/GDF6/LEF1/HTRA3/DLX1	29
GO:0051607	defense response to virus	40/672	334/18870	1.9077247518643667e-11	1.4230567725144889e-8	1.1199218166559318e-8	OASL/OAS1/MX1/IFI27/DDX60/BST2/RSAD2/IFIT3/OAS2/GBP1/EIF2AK2/ISG15/IFIT1/STAT1/IFI6/PLSCR1/IFIH1/IFIT2/CXCL10/HERC5/OAS3/USP18/DHX58/DDX60L/POLR3G/PARP9/ZC3HAV1/IFI44L/DTX3L/OPRK1/BNIP3/RNF125/TRIM38/TRIM56/GBP2/AGBL4/IFI16/NLRC5/GBP3/VAMP8	40
GO:0140546	defense response to symbiont	40/672	335/18870	2.094931105699563e-11	1.4230567725144889e-8	1.1199218166559318e-8	OASL/OAS1/MX1/IFI27/DDX60/BST2/RSAD2/IFIT3/OAS2/GBP1/EIF2AK2/ISG15/IFIT1/STAT1/IFI6/PLSCR1/IFIH1/IFIT2/CXCL10/HERC5/OAS3/USP18/DHX58/DDX60L/POLR3G/PARP9/ZC3HAV1/IFI44L/DTX3L/OPRK1/BNIP3/RNF125/TRIM38/TRIM56/GBP2/AGBL4/IFI16/NLRC5/GBP3/VAMP8	40
GO:0072001	renal system development	39/672	324/18870	2.932408782989976e-11	1.742950470389667e-8	1.3716727925696533e-8	MYC/NOG/PRICKLE1/DYNC2H1/STAT1/SULF1/BMP2/FGFR2/GCNT1/CENPF/PDGFRA/GATA3/PDGFRB/WNT2B/MYOCD/EGR1/SIX2/FBN1/BMP4/ACTA2/NFIA/RDH10/CYP26B1/GREM1/SERPINF1/NIPBL/EMX2/TFAP2B/AGT/TFAP2A/ID3/CYP26A1/LGR5/PLXND1/WNT1/SMAD6/CTSH/GDF6/FMN1	39
GO:0009615	response to virus	45/672	436/18870	1.6098353679066053e-10	8.505296860439899e-8	6.69352600340115e-8	OASL/OAS1/MX1/IFI27/DDX60/BST2/RSAD2/IFIT3/OAS2/GBP1/EIF2AK2/ISG15/IFIT1/STAT1/IFI6/PLSCR1/IFIH1/IFIT2/CXCL10/IFI44/GATA3/HERC5/OAS3/USP18/DHX58/DDX60L/POLR3G/PARP9/ACTA2/ZC3HAV1/IFI44L/DTX3L/OPRK1/BNIP3/RNF125/TRIM38/TRIM56/GBP2/AGBL4/IFI16/PENK/NLRC5/GBP3/NMI/VAMP8	45
GO:0048568	embryonic organ development	45/672	453/18870	5.577946134825405e-10	2.65231338710948e-7	2.0873261588741384e-7	NOG/HOXA2/PRICKLE1/FBN2/SLITRK6/FGFR2/GATA2/PDGFRA/GATA3/PRRX1/SIX2/FBN1/COL18A1/MSX1/BPTF/COBL/BMP4/RDH10/HOXB2/NIPBL/TTPA/EOMES/KRT19/HOXB3/COL2A1/TFAP2A/MMP14/CCN1/ID3/HOXB1/MICAL2/TEAD4/WNT1/FOLR1/OTX1/EDN1/NHERF1/LEF1/TGFBR2/SOCS3/TH/KRT8/EPAS1/RSPO3/WNT3A	45
GO:0048705	skeletal system morphogenesis	30/672	230/18870	8.438607571775497e-10	3.6477799094356805e-7	2.870741618915014e-7	NOG/HOXA2/FBN2/FGFR2/TRIP11/PDGFRA/SOX6/PRRX1/SIX2/MSX1/BMP4/RDH10/CYP26B1/GREM1/HOXB2/NIPBL/HOXB3/PAPPA2/COL2A1/TFAP2A/MMP14/P2RX7/HOXB1/DHRS3/TGFBR2/TMEM119/COL1A1/PPARGC1B/FMN1/FOSL2	30
GO:0030900	forebrain development	41/672	407/18870	2.200178225976947e-9	8.0475749727079875e-07	6.333306553318258e-7	NOG/SSTR1/DYNC2H1/DRD1/BMP2/FGFR2/GATA2/SYNE2/NDNF/WNT2B/OTX2/ANXA3/NIN/ATRX/TAL2/KCNA2/KIF14/MSX1/NEUROD6/BMP4/B2M/NOTCH2NLA/KIF26A/LMX1A/EMX2/EOMES/LHX2/BNIP3/SLC32A1/OLIG2/FOXP2/CNTN2/WNT1/ASPM/OTX1/EPHA5/LEF1/TH/ARX/WNT3A/DLX1	41
