ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0072001	renal system development	40/548	324/18870	1.0434004830851886e-14	4.7892082173610155e-11	3.7068175056973804e-11	MYC/PRICKLE1/NOG/BMP6/DYNC2H1/SULF1/STAT1/WNT2B/BMP2/FGFR2/GCNT1/GATA3/CENPF/PDGFRB/SLIT2/PDGFRA/EGR1/SIX2/NIPBL/PAX2/EMX2/FBN1/NFIA/WNT1/BMP4/ACTA2/RDH10/SERPINF1/GREM1/CYP26B1/AGT/CYP26A1/ID3/TFAP2B/LGR5/TFAP2A/AGTR1/GDF6/PLXND1/CTSH	40
GO:0051607	defense response to virus	36/548	334/18870	1.326640746155332e-11	1.6601404626297836e-8	1.284938438567944e-8	OASL/OAS1/MX1/IFI27/GBP1/RSAD2/IFIT3/DDX60/OAS2/BST2/ISG15/EIF2AK2/IFI6/IFIH1/IFIT1/STAT1/IFIT2/PLSCR1/CXCL10/OAS3/HERC5/USP18/DHX58/BNIP3/DDX60L/PARP9/POLR3G/IFI44L/OPRK1/DTX3L/TRIM38/AGBL4/GBP2/DDIT4/NLRC5/IFI16	36
GO:0140546	defense response to symbiont	36/548	335/18870	1.4467455012024257e-11	1.6601404626297836e-8	1.284938438567944e-8	OASL/OAS1/MX1/IFI27/GBP1/RSAD2/IFIT3/DDX60/OAS2/BST2/ISG15/EIF2AK2/IFI6/IFIH1/IFIT1/STAT1/IFIT2/PLSCR1/CXCL10/OAS3/HERC5/USP18/DHX58/BNIP3/DDX60L/PARP9/POLR3G/IFI44L/OPRK1/DTX3L/TRIM38/AGBL4/GBP2/DDIT4/NLRC5/IFI16	36
GO:0009615	response to virus	41/548	436/18870	3.8623924984646935e-11	3.5456763135905886e-08	2.744331512067019e-8	OASL/OAS1/MX1/IFI27/GBP1/RSAD2/IFIT3/DDX60/OAS2/BST2/ISG15/EIF2AK2/IFI6/IFIH1/IFIT1/STAT1/IFIT2/PLSCR1/CXCL10/GATA3/OAS3/IFI44/HERC5/ITGB8/USP18/DHX58/BNIP3/DDX60L/ACTA2/PARP9/POLR3G/IFI44L/OPRK1/DTX3L/TRIM38/AGBL4/PENK/GBP2/DDIT4/NLRC5/IFI16	41
GO:0061138	morphogenesis of a branching epithelium	25/548	187/18870	2.0559507036927804e-10	1.572802288324977e-7	1.2173392324496726e-7	MYC/NOG/SULF1/WNT2B/BMP2/FGFR2/SLIT2/GBX2/SIX2/PAX2/MET/WNT1/BMP4/RDH10/GREM1/RSPO3/AGT/MMP14/RSPO2/EDN1/GDF7/SEMA3C/PLXND1/TGM2/CTSH	25
GO:0071772	response to BMP	24/548	179/18870	4.4660430025477893e-10	2.562392172711794e-7	1.9832756754735247e-7	NOG/BMP6/SULF1/SKOR2/BMP2/HIVEP1/GATA3/MSX1/EGR1/PHOX2B/CHRDL1/FBN1/NFIA/WNT1/BMP4/COL2A1/PCSK6/GREM1/ZNF8/CCN1/FSTL5/TFAP2B/GDF6/GDF7	24
GO:0071773	cellular response to BMP stimulus	24/548	179/18870	4.4660430025477893e-10	2.562392172711794e-7	1.9832756754735247e-7	NOG/BMP6/SULF1/SKOR2/BMP2/HIVEP1/GATA3/MSX1/EGR1/PHOX2B/CHRDL1/FBN1/NFIA/WNT1/BMP4/COL2A1/PCSK6/GREM1/ZNF8/CCN1/FSTL5/TFAP2B/GDF6/GDF7	24
GO:0001763	morphogenesis of a branching structure	25/548	203/18870	1.1922443017613355e-9	6.080445938982811e-7	4.7062275069526406e-7	MYC/NOG/SULF1/WNT2B/BMP2/FGFR2/SLIT2/GBX2/SIX2/PAX2/MET/WNT1/BMP4/RDH10/GREM1/RSPO3/AGT/MMP14/RSPO2/EDN1/GDF7/SEMA3C/PLXND1/TGM2/CTSH	25
GO:0043583	ear development	26/548	221/18870	1.5009463953518955e-9	6.442298006001438e-7	4.986298766254983e-7	SLITRK6/NOG/GATA2/BMP2/FGFR2/TRIP11/GATA3/KCNK3/EYA4/MSX1/KCNK2/GBX2/PHOX2B/SIX2/NIPBL/PRRX1/PAX2/ESRRB/OTX1/WNT1/BMP4/COL2A1/RDH10/LGR5/TFAP2A/EDN1	26
GO:0030278	regulation of ossification	19/548	121/18870	2.035769225836955e-9	7.786817288826353e-7	6.02694836596467e-7	FBN2/ISG15/BMP6/CALCA/DDR2/BMP2/TACR1/P2RX7/SIX2/SGMS2/NIPBL/BMP4/GREM1/NELL1/KL/CCN1/TFAP2A/DHRS3/TMEM119	19
