ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048568	embryonic organ development	83/1419	453/18870	2.1197504870018624e-14	1.2093176528345626e-10	9.168478685358582e-11	HOXA3/FGFR2/E2F7/RARRES2/MEF2C/FBN2/COL2A1/HOXB9/SIX3/PAX2/BMP7/NOG/HOXA2/E2F8/LIF/NOTCH2/SALL1/EDN1/NPHP3/COL11A1/BMP4/TGFBR2/STOX1/LRIG3/MTHFD1/FZD5/CDC42/PDGFRA/NKX2-5/HES1/STRA6/COBL/PRRX1/CCN1/CIMAP3/EPAS1/NTN1/TTPA/SNAI1/GATA2/JUNB/SIX4/ID3/HOXB8/LEF1/STK3/TFAP2A/NHERF1/GSC/PKD2/CDX4/COL18A1/CHRNA9/GBX2/FBN1/EPHA2/PHLDA2/PLCD3/GDNF/TEAD4/PAX5/CTHRC1/KRT8/SOCS3/RARG/SHH/EFEMP1/TGFB2/FZD6/DLX2/MMP14/RNF207/HOXD3/MICAL2/SPINT1/ECE1/HOXB2/DSCAML1/COL27A1/PPP1R13L/HOXB3/HOXB4/WNT7B	83
GO:0048732	gland development	80/1419	443/18870	1.4217400938710396e-13	4.0039059054719703e-10	3.0355734795118453e-10	CCND1/HOXA3/FGFR2/E2F7/LIPA/CYP1B1/MAN2A1/ARID5B/SERPINF1/PTPN3/HOXB9/SIX3/BMP7/OAS2/MET/NOG/SULF1/LBH/E2F8/RREB1/NOTCH2/SALL1/EDN1/NTN4/NPHP3/FOXB1/BMP4/TGFBR2/FGF2/TNC/IGSF3/MMP2/CPT1A/BRCA2/AURKA/PDGFRA/ITGA2/NKX2-5/HES1/STRA6/COBL/PLXND1/PRL/NTN1/BMP2/GATA2/SIX4/ANXA1/LEF1/PRLR/NHERF1/PKD2/CDKN2B/CLDN1/IRF6/SEMA3C/NCOR2/FOXA1/NR3C1/PCSK1/ELF3/CEACAM1/SNAI2/EPHA2/TNFAIP3/POLB/TGFA/GATA6/ZBTB7B/STAT5A/LAMA5/RARG/SHH/TGFB2/CSF1/HOXD3/INHBB/HOXB3/WNT7B/FGF7	80
GO:0072001	renal system development	65/1419	324/18870	2.1054719923603698e-13	4.0039059054719703e-10	3.0355734795118453e-10	GFRA1/FGFR2/MEF2C/ARID5B/HS3ST3A1/SERPINF1/PAX2/HS3ST3B1/MYC/BMP7/CYP26B1/NOG/SULF1/BMPER/PDGFRB/GCNT1/LIF/NOTCH2/SALL1/STAT1/NPHP3/BMP4/FGF2/GCNT4/GREM1/CENPF/PDGFRA/HEYL/EMX2/SDC4/HES1/TACSTD2/STRA6/PLXND1/NPHS1/ADAMTS6/ADAMTS1/BMP2/PLCE1/SIX4/ID3/LGR5/TFAP2A/PKD2/TFAP2B/SDC1/FBN1/SMAD6/TIPARP/GDNF/IQGAP1/LAMA5/C1GALT1/SHH/TGFB2/SOX8/RRM2B/KANK2/SIM1/CYP26A1/ANGPT2/HAS2/EGR1/MYO1E/WNT7B	65
GO:0045071	negative regulation of viral genome replication	23/1419	55/18870	2.1382948525438713e-12	2.439794426752557e-9	1.849737589284793e-9	IFITM1/ZC3HAV1/OAS3/BST2/IFI16/IFIH1/MX1/OASL/EIF2AK2/ISG15/OAS2/OAS1/PLSCR1/SHFL/APOBEC3B/FAM111A/IFIT1/APOBEC3F/IFITM2/ZNFX1/MAVS/TRIM6/IFITM3	23
GO:0051607	defense response to virus	63/1419	334/18870	8.409346661836765e-12	7.837893736567615e-9	5.942323052457462e-9	DTX3L/IFITM1/ZC3HAV1/OAS3/BST2/IFI16/IFIT3/IFI6/IFIT2/IFIH1/MX1/IFI27/OASL/PARP9/GBP1/USP18/EIF2AK2/DDX60L/ISG15/HERC5/OAS2/CXCL10/MICB/OAS1/TRIM25/PLSCR1/STAT1/DDX60/GBP3/TLR3/SHFL/MOV10/PMAIP1/IFI44L/APOBEC3B/IFIT1/TRIM56/GBP5/TRIM21/APOBEC3F/TRIM38/POLR3G/NLRC5/CGAS/PYCARD/IFITM2/DHX58/TRIM22/IRF1/ZNFX1/TNFAIP3/MAVS/F2RL1/TRIM6/MAP3K14/IKBKE/NMB/IRF2/IFITM3/ZC3H12A/SPON2/VAMP8/UNC93B1	63
GO:0140546	defense response to symbiont	63/1419	335/18870	9.617047529530815e-12	7.837893736567615e-9	5.942323052457462e-9	DTX3L/IFITM1/ZC3HAV1/OAS3/BST2/IFI16/IFIT3/IFI6/IFIT2/IFIH1/MX1/IFI27/OASL/PARP9/GBP1/USP18/EIF2AK2/DDX60L/ISG15/HERC5/OAS2/CXCL10/MICB/OAS1/TRIM25/PLSCR1/STAT1/DDX60/GBP3/TLR3/SHFL/MOV10/PMAIP1/IFI44L/APOBEC3B/IFIT1/TRIM56/GBP5/TRIM21/APOBEC3F/TRIM38/POLR3G/NLRC5/CGAS/PYCARD/IFITM2/DHX58/TRIM22/IRF1/ZNFX1/TNFAIP3/MAVS/F2RL1/TRIM6/MAP3K14/IKBKE/NMB/IRF2/IFITM3/ZC3H12A/SPON2/VAMP8/UNC93B1	63
GO:0061448	connective tissue development	55/1419	285/18870	7.225836059362095e-11	4.580377190962306e-8	3.47262694361624e-8	HOXA3/LIPA/MEF2C/SORL1/ARID5B/COL2A1/BMP7/NOG/SULF1/PDGFRB/GHR/SOX5/LOX/EDN1/ARRDC3/COL11A1/BMP4/TGFBR2/FGF2/ADAMTS12/GREM1/CCN2/NFATC2/PRRX1/CCN1/TRPS1/ACVRL1/SNAI1/BMP2/EBF2/NPPC/SCIN/PLAAT3/FOXA1/MAF/GDF5/SNAI2/TRIP11/CCN3/RFLNB/RARG/EFEMP1/SOX6/SERPINH1/PPARG/DLX2/CSF1/SOX8/HOXD3/FGF18/PBXIP1/COL27A1/EGR1/HOXB3/WNT7B	55
GO:0001667	ameboidal-type cell migration	78/1419	497/18870	3.70150413711982e-10	1.7597567585223812e-7	1.3341649560899422e-7	CYP1B1/PIK3C2A/ANLN/MEF2C/SP100/ARID5B/SERPINF1/SEMA6C/PHOX2B/BMP7/MET/BMPER/FERMT1/AKAP12/RREB1/EDN1/SYNJ2BP/DDR2/BMP4/TGFBR2/ETS1/FGF2/GREM1/CDC42/PLK2/SDC4/ITGA2/DOCK5/TACSTD2/PLXND1/GJA1/ACVRL1/DOCK1/SNAI1/EPPK1/MYH9/DAAM2/PDLIM1/GATA2/ANXA1/KANK1/SEMA3D/ROCK2/NHERF1/SEMA3C/SASH1/TACR1/GBX2/CEACAM1/SNAI2/EPHA2/KLF4/GDNF/SPARC/PRKD1/MACF1/CCN3/TNS1/IQGAP1/STAT5A/SYDE1/LAMA5/SHH/TGFB2/ZC3H12A/PPARG/SOX8/FOXP1/KANK2/CARD10/SEMA3G/FGF18/ANGPT2/ADAM9/ANXA3/HAS2/PLEC/FGF7	78
GO:0060562	epithelial tube morphogenesis	59/1419	334/18870	5.731899188512727e-10	2.3325427571203998e-7	1.7684244086918627e-7	FGFR2/MEF2C/HS3ST3A1/PAX2/HS3ST3B1/MYC/BMP7/CXCL10/MET/NOG/NOTCH2/SALL1/EDN1/NPHP3/BMP4/TGFBR2/FGF2/STOX1/TNC/ADAMTS12/GREM1/MTHFD1/SDC4/NKX2-5/HES1/TACSTD2/FZD1/COBL/PLXND1/NTN1/ACVRL1/BMP2/SIX4/LGR5/LEF1/STK3/KIF20B/PKD2/DLC1/FOXA1/NR3C1/GBX2/CELSR1/SLC39A12/EPHA2/GDNF/CTHRC1/LAMA5/RARG/SHH/TGFB2/FZD6/MMP14/CSF1/SOX8/FOXP1/RNF207/MICAL2/SPINT1	59
GO:0007389	pattern specification process	75/1419	475/18870	6.132890684803856e-10	2.3325427571203998e-7	1.7684244086918627e-7	HOXA3/FGFR2/MEF2C/MEIS2/HOXB9/SIX3/NBL1/PAX2/BMP7/CYP26B1/NOG/RIPPLY3/APC2/HOXA2/NOTCH2/BTG2/EDN1/FEZF1/NPHP3/IRX4/FOXB1/BMP4/TGFBR2/FGF2/GREM1/FZD5/AURKA/HEYL/MNS1/EMX2/PCDH8/BHLHE40/NKX2-5/DLX1/HES1/GAS8/COBL/CIMAP3/DNAAF11/ACVRL1/CFAP45/SNAI1/HHEX/BMP2/DAAM2/HOXB8/LEF1/DBX1/OTX2/GSC/PKD2/SEMA3C/XRCC2/FOXA1/CDX4/GBX2/SMAD6/GDNF/GREM2/BHLHE41/SP8/LAMA5/RARG/SHH/SHROOM3/DLX2/HES6/RNF207/HOXD3/MICAL2/HOXB2/DSCAML1/HOXB3/HOXB4/WNT7B	75
