ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001822	kidney development	9/46	314/18870	5.596782724100464e-8	4.082544266883058e-5	3.192255420907428e-5	LIF/IRX2/IRX1/TFAP2B/STRA6/POU3F3/ADAMTS1/SERPINF1/MME	9
GO:0072001	renal system development	9/46	324/18870	7.316387575059243e-8	4.082544266883058e-5	3.192255420907428e-5	LIF/IRX2/IRX1/TFAP2B/STRA6/POU3F3/ADAMTS1/SERPINF1/MME	9
GO:0072539	T-helper 17 cell differentiation	3/46	33/18870	7.027234698126073e-5	0.007129449021007907	0.0055747153729631726	NFKBIZ/JUNB/SOCS3	3
GO:0046425	regulation of receptor signaling pathway via JAK-STAT	4/46	106/18870	1.2801420883035134e-4	0.011905321421222675	0.009309103431610637	LIF/OCIAD2/KIT/SOCS3	4
GO:0072538	T-helper 17 type immune response	3/46	47/18870	2.039167535161154e-4	0.016255078351713196	0.01271029989961351	NFKBIZ/JUNB/SOCS3	3
GO:0042447	hormone catabolic process	2/46	11/18870	3.153077710111331e-4	0.023458898163228305	0.018343167871454694	SULT1E1/MME	2
GO:0001890	placenta development	4/46	151/18870	4.951232095801463e-4	0.032276411573274814	0.02523782795156086	LIF/JUNB/SOCS3/MME	4
GO:0007611	learning or memory	5/46	274/18870	5.243520305520226e-4	0.032276411573274814	0.02523782795156086	STRA6/KIT/PDE1B/SERPINF1/MME	5
GO:0051962	positive regulation of nervous system development	5/46	290/18870	6.779283119317733e-4	0.032276411573274814	0.02523782795156086	LIF/KIT/SERPINF1/ST8SIA2/MME	5
GO:0002730	regulation of dendritic cell cytokine production	2/46	17/18870	7.72438497111085e-4	0.032276411573274814	0.02523782795156086	BST2/KIT	2
GO:0007379	segment specification	2/46	17/18870	7.72438497111085e-4	0.032276411573274814	0.02523782795156086	IRX2/IRX1	2
GO:0097396	response to interleukin-17	2/46	17/18870	7.72438497111085e-4	0.032276411573274814	0.02523782795156086	NFKBIZ/SOCS3	2
GO:0097398	cellular response to interleukin-17	2/46	17/18870	7.72438497111085e-4	0.032276411573274814	0.02523782795156086	NFKBIZ/SOCS3	2
GO:0002287	alpha-beta T cell activation involved in immune response	3/46	76/18870	8.414662388178249e-4	0.032276411573274814	0.02523782795156086	NFKBIZ/JUNB/SOCS3	3
GO:2000242	negative regulation of reproductive process	3/46	76/18870	8.414662388178249e-4	0.032276411573274814	0.02523782795156086	LIF/KIT/SERPINF1	3
GO:0002371	dendritic cell cytokine production	2/46	18/18870	8.676454723998606e-4	0.032276411573274814	0.02523782795156086	BST2/KIT	2
GO:0042509	regulation of tyrosine phosphorylation of STAT protein	3/46	78/18870	9.075094631244893e-4	0.03267034067248162	0.02554585211987102	LIF/KIT/SOCS3	3
GO:0072079	nephron tubule formation	2/46	20/18870	0.0010741292338344091	0.03304241669994168	0.02583678876084857	IRX2/IRX1	2
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	2/46	21/18870	0.0011853549563511608	0.03391938798174091	0.02652251710702058	FLT1/KIT	2
GO:2000319	regulation of T-helper 17 cell differentiation	2/46	22/18870	0.0013018693442509908	0.034592528290097756	0.027048864320402793	NFKBIZ/JUNB	2
GO:0044703	multi-organism reproductive process	4/46	206/18870	0.0015725950878558103	0.038328719673427	0.029970296745209374	LIF/TLE6/JUNB/TAC1	4
GO:0007517	muscle organ development	5/46	354/18870	0.0016471493561844553	0.038328719673427	0.029970296745209374	ANKRD1/LIF/PITX1/STRA6/TAGLN	5
GO:0044706	multi-multicellular organism process	4/46	216/18870	0.00187011769622046	0.0401356028650391	0.031383149193659136	LIF/TLE6/JUNB/TAC1	4
GO:0048745	smooth muscle tissue development	2/46	27/18870	0.0019628883850672336	0.0413317629761327	0.03231846020299378	TFAP2B/STRA6	2
