ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003002	regionalization	47/467	430/18870	1.0098661504481639e-17	4.009168617279211e-14	3.265588225449221e-14	RELN/TBX18/CYP26C1/TBX3/DMRTA2/SFRP1/GREM1/SOX1/LRP2/DLL1/TBR1/ALDH1A2/GREM2/SHH/DLL3/TLL1/TBX2/BHLHE40/DAW1/MSX1/HOXA11/PITX2/PCDH8/IRX1/ALX4/HOXA10/DMRT3/IRX2/GBX2/GAS8/VAX2/BHLHE41/MNS1/FOXA2/OSR1/FOXD1/NEUROG1/EMX2/SIX1/HOXC9/SIX3/HOXB9/FOXB1/HOXA5/LBX1/GSX2/TBX1	47
GO:0045165	cell fate commitment	36/467	286/18870	9.672523175970925e-16	1.2799972336201524e-12	1.0425961823362346e-12	POU3F2/POU4F1/TBX18/GDF7/PRRX1/TBX3/DMRTA2/SFRP1/SOX1/SOX8/PITX1/DLL1/ATOH1/TBR1/SHH/EBF2/TBX2/BCL11B/HOXA11/RUNX2/HOXA13/OLIG2/KDR/DMRT3/PDPN/NR2E1/FOXA2/NEUROD4/TLX3/NEUROG1/MITF/SIX1/TBX4/LBX1/GSX2/TBX1	36
GO:0072001	renal system development	38/467	324/18870	1.5777589198326964e-15	1.5659257279339512e-12	1.2754935267700115e-12	ADAMTS1/CYP26A1/TBX18/STRA6/TFAP2B/SFRP1/GREM1/SOX8/LRP2/CAT/DLL1/FMN1/TGFB2/ALDH1A2/AGTR2/SHH/MME/RET/HOXA11/IRX1/DACT2/ITGA8/IRX2/TP73/ANGPT1/AQP1/REN/PDGFB/LIN28A/PCSK9/OSR1/FOXD1/LIF/EMX2/SIX1/MYOCD/VEGFA/SERPINB7	38
GO:0048568	embryonic organ development	42/467	453/18870	1.8580356842076378e-13	1.229400277717387e-10	1.0013834424361163e-10	NES/TBX18/PRRX1/TBX3/IGF2/KIT/STRA6/POU3F4/SHOX2/DLL1/TGFB2/ATOH1/ALDH1A2/SHH/TBX2/IRX5/MSX1/HOXA11/PITX2/CTHRC1/RUNX2/ALX4/ITGA8/KDR/GBX2/VAX2/MFAP5/COL11A1/PDGFB/OSR1/EN2/NEUROG1/LIF/SIX1/HOXC9/SIX3/HOXB9/VEGFA/TBX4/HOXA5/LBX1/TBX1	42
GO:0030900	forebrain development	38/467	407/18870	2.2410652094164196e-12	1.1121286101728983e-9	9.058621478062161e-10	POU3F2/RELN/POU4F1/GDF7/TBX3/PCSK1/SEMA3A/DMRTA2/SOX1/NR4A2/LMX1A/PITX1/LRP2/ATOH1/TBR1/ALDH1A2/CXCL12/SHH/INHBA/SSTR1/MSX1/BCL11B/PITX2/DLC1/OLIG2/GBX2/FUT1/VAX2/NR2E1/AQP1/CNTN2/OTP/NEUROG1/EMX2/SIX3/FOXB1/RAX/GSX2	38
GO:0030198	extracellular matrix organization	33/467	321/18870	4.919786603283615e-12	1.7726125531092778e-9	1.4438461522343105e-9	ADAMTS1/EGFL6/FLRT2/COL24A1/PTX3/ELN/SMOC1/GREM1/COL14A1/LUM/TGFB2/TGFBI/NID2/TLL1/MFAP4/COL10A1/ADAMTS18/ITGA8/COL8A1/COL9A3/PDPN/NR2E1/COL11A1/FAP/COL1A1/CRISPLD2/EGFLAM/VTN/SLC39A8/COL8A2/ADAMTS8/ADAMTS14/OTOL1	33
GO:0043062	extracellular structure organization	33/467	322/18870	5.358022830557011e-12	1.7726125531092778e-9	1.4438461522343105e-9	ADAMTS1/EGFL6/FLRT2/COL24A1/PTX3/ELN/SMOC1/GREM1/COL14A1/LUM/TGFB2/TGFBI/NID2/TLL1/MFAP4/COL10A1/ADAMTS18/ITGA8/COL8A1/COL9A3/PDPN/NR2E1/COL11A1/FAP/COL1A1/CRISPLD2/EGFLAM/VTN/SLC39A8/COL8A2/ADAMTS8/ADAMTS14/OTOL1	33
GO:0048663	neuron fate commitment	16/467	73/18870	2.215326813975463e-11	4.88602636193477e-9	3.979815188615568e-9	POU3F2/POU4F1/PRRX1/DMRTA2/SOX1/DLL1/ATOH1/TBR1/SHH/BCL11B/OLIG2/DMRT3/TLX3/SIX1/LBX1/GSX2	16
GO:0090596	sensory organ morphogenesis	29/467	277/18870	6.422605099268681e-11	1.2748871122048333e-8	1.0384338349975469e-8	TBX18/PRRX1/TBX3/STRA6/TFAP2B/POU3F4/SOX1/SOX8/DLL1/ATOH1/TBX2/MSX1/PITX2/CTHRC1/ITGA8/KDR/COL8A1/GBX2/VAX2/AQP1/MFAP5/COL11A1/OSR1/NEUROG1/COL8A2/SIX1/SIX3/VEGFA/TBX1	29
GO:0060537	muscle tissue development	34/467	433/18870	3.273906746019003e-9	4.3324699272318147e-7	3.5289268504457466e-7	CSRP1/POU4F1/TBX18/TBX3/IGF2/STRA6/TFAP2B/MYH14/DMRTA2/SHOX2/ELN/GREM1/SOX8/PITX1/LRP2/DLL1/TGFB2/PGM5/ALDH1A2/SHH/TBX2/ALPK2/MSX1/ITGA8/TP73/COL11A1/NOX4/OSR1/SIX1/MYOCD/ACTC1/VEGFA/HOPX/TBX1	34
