ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0034340	response to type I interferon	65	-0.6441183755796308	-2.4438769814624037	1.059115992719657e-10	5.312140992464178e-8	3.750057588225026e-8	2177	tags=42%, list=12%, signal=37%	TRAF3/METTL3/SHFL/STAT2/CH25H/NLRC5/WNT5A/PTPN1/ADAR/TRIM56/PTPN11/SETD2/SAMHD1/GIGYF2/MAVS/RBM47/USP18/SP100/OAS3/IFIH1/STAT1/IFIT1/ISG15/OAS2/IFI27/MX1/OAS1
GO:0051607	defense response to virus	238	-0.4903364686654955	-2.2509333986967675	1e-10	5.312140992464178e-8	3.750057588225026e-8	2270	tags=30%, list=13%, signal=26%	TRIM21/ATG12/TRAF3/ATG7/SHFL/EIF2AK4/CLPB/PML/IRF1/ZNFX1/GARIN5A/VAMP8/ADARB1/STAT2/TRIM25/GRAMD4/GBP3/TNFAIP3/NLRC5/SPON2/IFI16/PDE12/MOV10/RAB2B/AGBL4/ADAR/GBP2/TRIM56/G3BP1/ITCH/RNF125/TRIM38/SETD2/SKP2/TRIM44/ELMOD2/DTX3L/SAMHD1/TRAF3IP1/IFI44L/MAVS/ZC3HAV1/ERBIN/PARP9/POLR3G/DDX60L/DDX21/DHX58/PMAIP1/USP18/OAS3/HERC5/CXCL10/IFIT2/IFIH1/PLSCR1/IFI6/STAT1/IFIT1/EIF2AK2/ISG15/GBP1/OAS2/IFIT3/RSAD2/BST2/DDX60/IFI27/MX1/OAS1/OASL
GO:0140546	defense response to symbiont	238	-0.4903364686654955	-2.2509333986967675	1e-10	5.312140992464178e-8	3.750057588225026e-8	2270	tags=30%, list=13%, signal=26%	TRIM21/ATG12/TRAF3/ATG7/SHFL/EIF2AK4/CLPB/PML/IRF1/ZNFX1/GARIN5A/VAMP8/ADARB1/STAT2/TRIM25/GRAMD4/GBP3/TNFAIP3/NLRC5/SPON2/IFI16/PDE12/MOV10/RAB2B/AGBL4/ADAR/GBP2/TRIM56/G3BP1/ITCH/RNF125/TRIM38/SETD2/SKP2/TRIM44/ELMOD2/DTX3L/SAMHD1/TRAF3IP1/IFI44L/MAVS/ZC3HAV1/ERBIN/PARP9/POLR3G/DDX60L/DDX21/DHX58/PMAIP1/USP18/OAS3/HERC5/CXCL10/IFIT2/IFIH1/PLSCR1/IFI6/STAT1/IFIT1/EIF2AK2/ISG15/GBP1/OAS2/IFIT3/RSAD2/BST2/DDX60/IFI27/MX1/OAS1/OASL
GO:0061448	connective tissue development	228	-0.45571109096284684	-2.0842921586101983	1.076300516257938e-10	5.312140992464178e-8	3.750057588225026e-8	3303	tags=38%, list=18%, signal=31%	PTH1R/RSPO2/CTSK/SOX9/TBL1XR1/PKD1/CHSY1/SPTLC2/FGF2/SMAD7/ZEB1/EFEMP1/SULF2/SOX8/SATB2/BMP7/CREB3L2/WNT10B/TGFBI/PGRMC2/RFLNB/SNAI1/GDF7/SERPINH1/EVC/SPART/AXIN2/MGP/WNT9A/GHR/LRP5/CHI3L1/RB1/CCN4/CTNNB1/TYMS/LOXL2/FOSL2/FGF18/TSKU/ARID5B/BMP1/LTBP3/CCN2/COL1A1/WNT5A/COL5A1/LOX/TGFBR2/MAF/GDF6/CCN3/TWSG1/ADAMTS12/EDN1/CFLAR/IFT80/NFIB/GLI3/CCN1/PTPN11/COL2A1/TRPS1/EXT1/BGN/SMAD5/GREM1/SOX5/NFIA/ACTA2/BMP4/BMPR1A/MSX1/SLC26A2/EGR1/PRRX1/SOX6/WNT2B/PDGFRB/GATA3/TRIP11/BMP2/BMP6/LIPA/SULF1/NOG
GO:0009615	response to virus	313	-0.4308945874060837	-2.042636024895155	1e-10	5.312140992464178e-8	3.750057588225026e-8	1703	tags=22%, list=9%, signal=21%	IRF1/ZNFX1/GARIN5A/VAMP8/ADARB1/STAT2/NMI/TRIM25/GRAMD4/GBP3/TNFAIP3/NLRC5/SPON2/PENK/IFI16/PDE12/MOV10/RAB2B/AGBL4/ADAR/GBP2/TRIM56/G3BP1/ITCH/RNF125/TRIM38/SETD2/SKP2/TRIM44/ELMOD2/DTX3L/SAMHD1/EXT1/TRAF3IP1/IFI44L/MAVS/LGALS8/ZC3HAV1/ACTA2/ERBIN/PARP9/POLR3G/DDX60L/DDX21/DHX58/PMAIP1/USP18/OAS3/HERC5/GATA3/IFI44/CXCL10/IFIT2/IFIH1/PLSCR1/IFI6/STAT1/IFIT1/EIF2AK2/ISG15/GBP1/OAS2/IFIT3/RSAD2/BST2/DDX60/IFI27/MX1/OAS1/OASL
GO:0001501	skeletal system development	399	-0.41813696432275693	-2.0318862983747548	1e-10	5.312140992464178e-8	3.750057588225026e-8	3340	tags=35%, list=19%, signal=29%	FLVCR1/NEUROG1/PTH1R/RSPO2/CTSK/SOX9/EXTL1/SMAD2/MAP2K6/PKD1/CHSY1/SPEF2/RYK/EPHA2/CSRNP1/P3H1/FGF2/SMAD7/ZEB1/EFEMP1/SULF2/TNFRSF11B/GDF11/SATB2/BMP7/RPS6KA3/CREB3L2/WNT10B/ETS2/TGFBI/TGFB3/ARSL/RFLNB/RGN/PCSK5/MMP16/SIX4/SNAI1/PTGER4/SERPINH1/EVC/LEPR/PAPSS2/AXIN2/MGP/WNT9A/GHR/LRP5/DLX1/TMEM38B/CHI3L1/RB1/CCN4/CTNNB1/DEAF1/TYMS/MMP2/LOXL2/FOSL2/FGF18/FMN1/TSKU/ARID5B/BMP1/DYNC2I1/ANKRD11/PPARGC1B/BNC2/LTBP3/CCN2/COL1A1/WNT5A/LOX/TMEM119/TGFBR2/ALPL/MAF/HAPLN3/GDF6/MTHFD1/DHRS3/CCN3/TWSG1/ADAMTS12/TGM2/GJA1/EDN1/WNT1/TEAD4/CMKLR1/IFT80/NFIB/GLI3/LRRK1/ASH1L/SP3/CCN1/P2RX7/MMP14/PTPN11/SETD2/COL2A1/TCOF1/AKAP13/PAPPA2/TRPS1/LAMA5/EXT1/NIPBL/BGN/SMAD5/GREM1/SOX5/RDH10/NFIA/BMP4/BMPR1A/MSX1/COL18A1/FBN1/SLC26A2/PRRX1/DLG1/BBX/HAPLN1/NOTCH2/SOX6/WNT2B/GATA3/PDGFRA/KIAA1217/TRIP11/FGFR2/BMP2/BMP6/DDR2/LIPA/SULF1/FBN2/TP53/NOG
GO:0048514	blood vessel morphogenesis	488	-0.40943869109458003	-2.0317458149657632	1e-10	5.312140992464178e-8	3.750057588225026e-8	4014	tags=39%, list=22%, signal=31%	THBS2/ITGAV/NF1/TMEM100/ETS1/EDNRA/PLCD3/SP1/BSG/SHC1/PAXIP1/VEGFC/PARVA/HIF1A/RBPJ/WARS2/NPR3/RAMP1/GRN/MFGE8/ADAM12/CEMIP2/PRDM1/RBM15/ADGRA2/LRP1/PRKD1/TLR3/COL4A1/ANXA1/CREB3L1/DCN/ELK3/LAMA1/KRIT1/SRPX2/ERBB2/APELA/SEMA5A/KLF5/HDAC7/WARS1/EPHB4/ADAMTS9/EPHA2/FGF2/TYMP/SMAD7/GJC1/NFE2L2/JAK1/PIK3CB/ENPEP/PROX1/FZD8/PRKD2/YAP1/APOE/OTULIN/ZFPM2/C3/TGFBI/B4GALT1/RHOB/MYO1E/UBP1/ARHGAP22/SLC12A2/C5AR1/STRA6/NUS1/RECK/JUNB/HEG1/PLK2/F3/LEPR/SASH1/PML/EMILIN1/LRP5/MIA3/ANGPTL4/E2F7/SLC31A1/SEMA6A/ROBO1/FLNA/CHI3L1/HSPB6/SPINK5/SLC39A12/CTNNB1/FAP/HIPK1/ADAMTS1/NR4A1/MMP2/THBS1/LOXL2/EMP2/E2F8/FGF18/RSPO3/COL8A1/VPS4B/NRP2/EPAS1/HES1/PROK2/PDE3B/TNFAIP3/CCN2/ANPEP/TNFAIP2/HIPK2/WNT5A/LOX/TGFBR2/PXDN/ID1/AMOTL2/LEF1/NCL/MTDH/CCN3/EGR3/CTSH/NAA15/EDN1/ANGPTL6/CCBE1/UNC5B/FOLR1/PLXND1/FN1/SOS1/EMILIN2/SPARC/MYLK/SPHK1/BRCA1/CALD1/CCN1/COL15A1/AGGF1/MMP14/MMP19/SETD2/GLUL/ERAP1/CSPG4/SLIT2/MYH9/TJP1/CCDC134/VHL/SERPINF1/PKD2/GREM1/RNF213/WNK1/SHB/BMP4/HDAC9/STK4/BMPR1A/COL8A2/HSPG2/COL18A1/RIN2/PRRX1/ADTRP/ROCK1/NOTCH2/SYNJ2BP/ANXA3/SP100/PRKCA/MYOCD/PDGFRB/GPNMB/PDGFRA/CXCL10/ROCK2/GATA2/FGFR2/PIK3C2A/KLF4/SULF1/STAT1/NOG
GO:0001525	angiogenesis	419	-0.40373102194322924	-1.9680719396388904	1e-10	5.312140992464178e-8	3.750057588225026e-8	4014	tags=40%, list=22%, signal=32%	THBS2/ITGAV/NF1/TMEM100/ETS1/EDNRA/PLCD3/SP1/BSG/SHC1/VEGFC/PARVA/HIF1A/RBPJ/WARS2/NPR3/RAMP1/GRN/MFGE8/ADAM12/CEMIP2/RBM15/ADGRA2/PRKD1/TLR3/COL4A1/ANXA1/CREB3L1/DCN/ELK3/KRIT1/SRPX2/ERBB2/APELA/SEMA5A/KLF5/HDAC7/WARS1/EPHB4/ADAMTS9/EPHA2/FGF2/TYMP/NFE2L2/JAK1/PIK3CB/ENPEP/FZD8/PRKD2/OTULIN/C3/TGFBI/B4GALT1/RHOB/UBP1/ARHGAP22/SLC12A2/C5AR1/NUS1/RECK/PLK2/F3/LEPR/SASH1/PML/EMILIN1/MIA3/ANGPTL4/E2F7/SLC31A1/SEMA6A/ROBO1/FLNA/CHI3L1/HSPB6/SPINK5/SLC39A12/CTNNB1/FAP/HIPK1/ADAMTS1/NR4A1/MMP2/THBS1/LOXL2/EMP2/E2F8/FGF18/RSPO3/COL8A1/VPS4B/NRP2/EPAS1/PROK2/PDE3B/TNFAIP3/CCN2/ANPEP/TNFAIP2/HIPK2/WNT5A/TGFBR2/PXDN/ID1/AMOTL2/LEF1/NCL/MTDH/CCN3/EGR3/CTSH/NAA15/EDN1/ANGPTL6/CCBE1/UNC5B/PLXND1/FN1/EMILIN2/SPARC/SPHK1/BRCA1/CALD1/CCN1/COL15A1/AGGF1/MMP14/MMP19/SETD2/GLUL/ERAP1/CSPG4/SLIT2/MYH9/TJP1/CCDC134/VHL/SERPINF1/GREM1/RNF213/WNK1/SHB/BMP4/HDAC9/STK4/BMPR1A/COL8A2/HSPG2/COL18A1/ADTRP/ROCK1/NOTCH2/SYNJ2BP/ANXA3/SP100/PRKCA/PDGFRB/GPNMB/PDGFRA/CXCL10/ROCK2/GATA2/FGFR2/PIK3C2A/KLF4/SULF1/STAT1
GO:0048729	tissue morphogenesis	496	-0.3764964942275591	-1.8705636270017911	1e-10	5.312140992464178e-8	3.750057588225026e-8	3335	tags=32%, list=19%, signal=27%	JHY/IFT57/LAMA1/RSPO2/IFT20/APELA/SOX9/NPHP1/SALL1/MYH7/SMAD2/TRIM71/PKD1/RYK/EPHA2/WLS/FGF2/SMAD7/SOSTDC1/TSC1/ADAM17/PROX1/FAT1/PRKD2/YAP1/SOX8/STOX1/HECTD1/BMP7/ANKRD6/NPHP3/HESX1/FERMT2/ZFPM2/MLLT3/ZFPM1/FZD3/RHOB/TNC/RYR2/SIX4/BTBD7/DLC1/ADAMTS16/SNAI1/MDM4/GREB1L/PLXNB2/GDF7/PTCD2/HEG1/CELSR1/SIX3/PML/LRP5/ANKRD1/ROBO1/FLNA/APC/WNT3A/SLC39A12/CTNNB1/DEAF1/GCNT4/ITGB4/FGF7/MMP2/SDC4/CCDC40/RSPO3/FMN1/ADARB1/OPA1/NRP2/DSP/HES1/STIL/PLEKHA4/CA2/DAB2/SOCS3/STK3/WNT5A/C2CD3/COL5A1/TGFBR2/VCL/LEF1/PHACTR4/MTHFD1/TWSG1/ADAMTS12/CTSH/NHERF1/TGM2/GJA1/EDN1/ADAMTS5/MTOR/FOLR1/WNT1/PLXND1/MICAL2/TPM1/KRT17/SEMA3C/LGR5/GLI3/SOS1/MYO9A/ACTC1/RPGRIP1L/CEP290/MYLK/EGFR/CCN1/MMP14/SETD2/RREB1/AGT/NKD1/VANGL1/SLIT2/LHX2/EOMES/LAMA5/EXT1/PKD2/TRAF3IP1/GREM1/RDH10/ACTA2/MET/BMP4/STK4/ZNRF3/BMPR1A/COBL/MSX1/DLG1/AHI1/NOTCH2/FERMT1/PKP2/WNT2B/KIF20B/GATA3/FZD1/ITGA2/CXCL10/GCNT1/FGFR2/BMP2/KLF4/SULF1/STAT1/NOG/MYC
GO:0006260	DNA replication	255	-0.44441567699899737	-2.054369065653906	1.8078611397175452e-10	8.030519182625336e-8	5.669071931809019e-8	4606	tags=47%, list=26%, signal=35%	FBXO5/DBF4/TOP1MT/POLK/FANCM/CDK2/BCL6/SMARCA5/S100A11/CHEK1/PRIMPOL/INO80/TK1/CHAF1B/LIG1/RPA1/RMI2/DNA2/ZMPSTE24/PDS5A/ORC1/INO80D/ATF1/RECQL4/TONSL/POLE/TWNK/POLE2/RFC2/POLA2/UPF1/TICRR/RNASEH1/USP37/FAM111A/JADE2/PCNA/RAD51/TTF1/DONSON/RRM2/MCM4/WAPL/RFWD3/CCNE2/ZBTB38/POLG/CDC6/GINS4/RFC3/TOPBP1/SUPT16H/RECQL5/MMS22L/GMNN/BLM/ORC6/ESCO1/MGME1/E2F7/ETAA1/CDT1/DUT/RRM1/E2F8/WRN/CHAF1A/ORC2/CDK1/ANKRD17/MCM3/FEN1/POLD3/MCM9/JADE1/GINS1/NFIC/TERF1/PCLAF/TOP1/DTL/BAZ1A/POLE3/POLA1/WDHD1/FAM111B/GEN1/RBMS1/ZRANB3/NFIX/MCM10/NFIB/BRCA1/ID3/EGFR/GMNC/REV3L/ATR/SAMHD1/RBBP6/POLH/DNAJC2/POLQ/RECQL/NBN/ESCO2/NFIA/ATAD5/GTPBP4/MCM8/RBBP8/ATRX/RFC1/CCDC88A/BRCA2/BOD1L1/NOC3L/MRE11/TP53
