ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0051607	defense response to virus	236	-0.46220991608125106	-2.0762990419951897	1e-10	1.161499486244876e-7	8.419067189449042e-8	2570	tags=29%, list=15%, signal=25%	CLPB/IRF7/IFIT5/PML/ATG7/ZNFX1/GARIN5A/IRF1/VAMP8/TNFAIP3/TRIM25/STAT2/GBP3/ATG12/PDE12/SPON2/MOV10/IFI16/NLRC5/ADARB1/ITCH/TRIM56/GBP2/AGBL4/TRIM38/G3BP1/GRAMD4/SKP2/SAMHD1/DTX3L/TRIM44/IFI44L/MAVS/RAB2B/POLR3G/PARP9/ZC3HAV1/ERBIN/SETD2/DDX21/DDX60L/ADAR/TRAF3IP1/ELMOD2/PMAIP1/DHX58/USP18/HERC5/OAS3/CXCL10/PLSCR1/IFIT2/STAT1/IFIT1/IFIH1/IFI6/EIF2AK2/ISG15/BST2/OAS2/DDX60/IFIT3/RSAD2/GBP1/IFI27/MX1/OAS1/OASL
GO:0140546	defense response to symbiont	236	-0.46220991608125106	-2.0762990419951897	1e-10	1.161499486244876e-7	8.419067189449042e-8	2570	tags=29%, list=15%, signal=25%	CLPB/IRF7/IFIT5/PML/ATG7/ZNFX1/GARIN5A/IRF1/VAMP8/TNFAIP3/TRIM25/STAT2/GBP3/ATG12/PDE12/SPON2/MOV10/IFI16/NLRC5/ADARB1/ITCH/TRIM56/GBP2/AGBL4/TRIM38/G3BP1/GRAMD4/SKP2/SAMHD1/DTX3L/TRIM44/IFI44L/MAVS/RAB2B/POLR3G/PARP9/ZC3HAV1/ERBIN/SETD2/DDX21/DDX60L/ADAR/TRAF3IP1/ELMOD2/PMAIP1/DHX58/USP18/HERC5/OAS3/CXCL10/PLSCR1/IFIT2/STAT1/IFIT1/IFIH1/IFI6/EIF2AK2/ISG15/BST2/OAS2/DDX60/IFIT3/RSAD2/GBP1/IFI27/MX1/OAS1/OASL
GO:0001501	skeletal system development	395	-0.40978516958194566	-1.935359180936965	1e-10	1.161499486244876e-7	8.419067189449042e-8	3208	tags=33%, list=18%, signal=27%	RFLNB/NEUROG1/EXTL1/PCSK5/TGFB3/ARSL/TGFBI/MAP2K6/SIX4/SATB2/SERPINH1/ETS2/SPEF2/CTSK/HIF1A/EVC/RGN/SNAI1/GHR/PAX5/LRP5/PTGER4/MMP16/RB1/TYMS/DEAF1/USP1/DLX1/RYK/MMP2/CHI3L1/FOSL2/LOXL2/RPS6KA3/FGF18/CCN4/TSKU/AXIN2/TMEM38B/BMP1/WNT9A/FLVCR1/DYNC2I1/LTBP3/PPARGC1B/CCN2/ARID5B/COL1A1/WNT10B/MAF/WNT5A/MTHFD1/ANKH/LOX/TWSG1/LEPR/FMN1/TGFBR2/GJA1/CCN3/ADAMTS12/TMEM119/ALPL/TGM2/ANKRD11/DHRS3/PAPSS2/BMPR2/ZEB1/HAPLN3/GDF6/TEAD4/EDN1/CMKLR1/RSPO2/NFIB/IFT80/LRRK1/MMP14/CCN1/GLI3/TCOF1/ASH1L/PTPN11/CTNNB1/AKAP13/TRPS1/EXT1/LAMA5/SMAD5/SP3/BNC2/GREM1/BGN/RDH10/COL2A1/BMP4/PAPPA2/WNT1/NFIA/BMPR1A/SETD2/SOX5/COL18A1/FBN1/PRRX1/SLC26A2/NIPBL/NOTCH2/DLG1/BBX/P2RX7/HAPLN1/MSX1/SOX6/PDGFRA/GATA3/TRIP11/FGFR2/BMP2/DDR2/KIAA1217/WNT2B/LIPA/SULF1/BMP6/TP53/FBN2/NOG
GO:0048514	blood vessel morphogenesis	484	-0.38154173365286287	-1.83112264605626	1.0506553471233614e-10	1.161499486244876e-7	8.419067189449042e-8	4535	tags=40%, list=26%, signal=31%	PARVA/AGO2/MFGE8/RBM15/CEMIP2/GTF2I/GRN/ADAM12/SP1/SGCD/RAMP1/MED1/NPR3/EPHB4/ELK3/PIK3CA/IL1A/COL4A1/PRDM1/FGF2/SRPX2/ERBB2/YAP1/CHD7/EPHA2/KLF5/SEMA5A/TLR3/WARS2/LRP1/ANXA1/SMAD7/PANK2/WARS1/DCN/FZD8/PIK3CB/HDAC7/APELA/ASB4/VEGFC/PTPRB/TYMP/ADAMTS9/ADGRA2/LAMA1/RBPJ/PRKD2/MYO1E/TAFA5/SLC12A2/KRIT1/B4GALT1/PAXIP1/JAK1/TGFBI/ARHGAP22/ZFPM2/CREB3L1/PROX1/AIMP1/RECK/GJC1/SASH1/NF1/JUNB/APOE/PLK2/STRA6/HEG1/HIF1A/SLC31A1/C5AR1/OTULIN/C3/F3/E2F7/LRP5/HIPK1/FLNA/PRKX/RHOB/EMILIN1/PML/MMP2/THBS1/ADAMTS1/CHI3L1/WNT4/LOXL2/HSPB6/NR4A1/FGF18/UBP1/HES1/E2F8/COL8A1/SLC39A12/TNFAIP3/NFE2L2/ANGPTL4/EPAS1/EMP2/CCN2/ENPEP/PROK2/PXDN/WNT5A/TNFAIP2/LOX/AMOTL2/LEPR/NRP2/LEF1/HIPK2/TGFBR2/ANGPT2/ANPEP/CCN3/CTSH/NAA15/NUS1/SEMA6A/ANGPTL6/NCL/PDE3B/EGR3/MIA3/PLXND1/ROBO1/FN1/SPARC/EDN1/SPHK1/CALD1/ID1/MMP14/CCN1/MYLK/MMP19/BRCA1/VPS4B/CTNNB1/ERAP1/MYH9/CSPG4/SOS1/AGGF1/FOLR1/MTDH/RSPO3/GREM1/RNF213/TJP1/CCBE1/PKD2/SERPINF1/WNK1/GLUL/COL15A1/BMP4/BMPR1A/CCDC134/SETD2/STK4/COL18A1/HSPG2/RIN2/VHL/HDAC9/PRRX1/SHB/NOTCH2/COL8A2/ADTRP/ROCK1/UNC5B/EMILIN2/ANXA3/PDGFRA/PRKCA/GPNMB/SYNJ2BP/SLIT2/PDGFRB/ROCK2/SP100/FGFR2/GATA2/CXCL10/KLF4/STAT1/SULF1/PIK3C2A/NOG
GO:0034340	response to type I interferon	65	-0.6495414115623782	-2.444069504951887	1.6556776396639652e-10	1.4642813045188108e-7	1.0613765079530051e-7	1919	tags=38%, list=11%, signal=34%	STAT2/METTL3/WNT5A/CH25H/NLRC5/TRIM56/PTPN11/SAMHD1/PTPN1/MAVS/SETD2/ADAR/GIGYF2/RBM47/USP18/OAS3/SP100/STAT1/IFIT1/IFIH1/ISG15/OAS2/IFI27/MX1/OAS1
GO:0090068	positive regulation of cell cycle process	209	-0.46745232854485147	-2.0724226213750656	3.460942647793584e-10	2.550714731423871e-7	1.8488719934265724e-7	4431	tags=46%, list=25%, signal=35%	NSMCE2/MED1/CCNB1/BUB1/DBF4/IL1A/CCND2/ADAM17/CSPP1/ANXA1/RCC2/STOX1/RRM2/RAD51B/RAD51C/MTBP/CDCA5/DRD2/CDC6/HNRNPU/NDC80/DYNC1H1/INSR/STXBP4/SPAG5/NEUROG1/CDC25B/MAD2L1/PKN2/SLF2/CXCR5/SVIL/CDC14B/E2F7/MAPK15/LRP5/CIT/CDC14A/RB1/NUDT16/CDC25C/NCAPD2/KMT2E/GPSM2/ADAMTS1/WNT4/CUL4A/AURKA/RRM1/RAD51AP1/E2F8/CENPJ/INCENP/NCAPH/STIL/CDK1/SLF1/FEN1/DLGAP5/WNT10B/CEP295/NCAPG/WNT5A/DTL/IGF1R/KIF23/NCAPD3/ANKRD17/ECT2/GEN1/PLCB1/EDN1/CCND1/SPHK1/RAD18/EGFR/VPS4B/PHIP/SMC6/SMC5/MAP3K20/WNK1/SMC2/ATAD5/SASS6/SMC4/KIF14/TFDP1/ATRX/MSX1/PDGFRB/ROCK2/TPR/KIF20B/DDR2/PLSCR1/PKP4
GO:0007507	heart development	494	-0.3767085073423404	-1.8118159070002873	5.225454243744999e-10	3.300994095120055e-7	2.3927079958200786e-7	3048	tags=29%, list=17%, signal=24%	ZFPM2/DLC1/PROX1/PDLIM1/RIPPLY3/MYH7/CIMAP3/GJC1/NPHP3/NF1/DNAH5/MBD2/TP73/STRA6/HEG1/HIF1A/RYR2/SNAI1/FLNA/VGLL4/GREB1L/RB1/EMILIN1/IFT20/RBM24/ODAD4/MMP2/TFDP2/WDR11/ZFPM1/BICC1/ADAMTS1/FOXJ1/HES1/MIB1/AXIN2/CCDC40/PTCD2/STIL/CDK1/SLC8A1/CACNA1C/EMP2/FHOD3/MDM4/COL5A1/ANKRD1/WNT5A/STK3/HECTD1/MTHFD1/WNT3A/LOX/ANK2/JPH2/NRP2/IGF1R/TGFBR2/C2CD3/DSP/RB1CC1/GJA1/FLRT2/PLCE1/SMAD6/ADAMTS5/CNTRL/DHRS3/BMPR2/DZIP1/TPM1/PLXND1/APC/SEMA3C/TTN/ROBO1/MICAL2/FN1/EDN1/SYNE1/CCN1/GLI3/ID3/EGFR/RPGRIP1L/MTOR/PRKDC/NOX4/ACTC1/PTPN11/CTNNB1/AKAP13/ANKS6/EXT1/SOS1/FOLR1/SMAD5/TAB2/SOD2/GREM1/PKD2/WNK1/COL2A1/BMP4/REST/BMPR1A/SETD2/IFT74/STK4/CASP7/FBN1/DNAH11/HDAC9/SMYD4/NIPBL/NOTCH2/SLIT3/AHI1/ROCK1/PKP2/MSX1/SOX6/FZD1/PDGFRA/SLIT2/PDGFRB/NRAP/ROCK2/GATA3/TRIP11/FGFR2/BMP2/DSG2/TENM4/ATM/DYNC2H1/ELN/TP53/PDLIM5/NOG/NFATC1
GO:0045069	regulation of viral genome replication	71	-0.6120240745993571	-2.3407167958850046	1.6732819984430373e-9	8.22139221901679e-7	5.95923238041994e-7	3023	tags=45%, list=17%, signal=37%	PROX1/TASOR/PKN2/SHFL/IFIT5/LARP1/ZNFX1/STAU1/PABPC1/PDE12/TOP2A/IFI16/ADARB1/HACD3/RESF1/TRIM38/MAVS/ZC3HAV1/ADAR/MPHOSPH8/OAS3/PLSCR1/IFIT1/IFIH1/EIF2AK2/ISG15/BST2/OAS2/RSAD2/MX1/OAS1/OASL
GO:0009615	response to virus	311	-0.41032720720782534	-1.9001284229962034	2.8904736531929757e-9	1.2781674494419338e-6	9.264728709444855e-7	1347	tags=19%, list=8%, signal=18%	MOV10/IFI16/NLRC5/NMI/ADARB1/ITCH/TRIM56/GBP2/PENK/AGBL4/TRIM38/G3BP1/GRAMD4/SKP2/EXT1/SAMHD1/DTX3L/TRIM44/IFI44L/MAVS/RAB2B/POLR3G/PARP9/ACTA2/ZC3HAV1/ERBIN/SETD2/DDX21/DDX60L/ADAR/TRAF3IP1/LGALS8/ELMOD2/PMAIP1/DHX58/USP18/HERC5/IFI44/OAS3/GATA3/CXCL10/PLSCR1/IFIT2/STAT1/IFIT1/IFIH1/IFI6/EIF2AK2/ISG15/BST2/OAS2/DDX60/IFIT3/RSAD2/GBP1/IFI27/MX1/OAS1/OASL
GO:0140888	interferon-mediated signaling pathway	71	-0.6025617023328548	-2.304527478156584	5.670650828810655e-9	2.0668391704884147e-6	1.4981373691678506e-6	2114	tags=35%, list=12%, signal=31%	IRF1/STAT2/METTL3/WNT5A/NLRC5/TRIM56/PTPN11/SAMHD1/PTPN1/MAVS/PARP9/PARP14/ADAR/GIGYF2/RBM47/USP18/OAS3/SP100/STAT1/IFIH1/ISG15/OAS2/TP53/IFI27/OAS1
