ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0003341	cilium movement	159	0.7215090030208577	2.665861045763268	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2205	tags=50%, list=10%, signal=45%	SPEF2/SPAG16/ODAD1/ZMYND10/TEKT2/OFD1/CFAP70/IQCG/DNAH11/PLTP/CFAP47/DNAH6/DRC1/CFAP52/CFAP43/GAS8/CFAP45/SPAG17/TTLL9/RSPH4A/CFAP46/SPAG6/RSPH9/ROPN1L/CLXN/DNAH9/MNS1/DNAAF1/JHY/HYDIN/CFAP54/HOATZ/SPEF1/CFAP44/CFAP251/DRC7/NEK10/CCDC103/CFAP69/ENO4/CCDC65/DPCD/LZTFL1/DNAI3/CFAP61/CFAP65/KIF27/DNAH5/DNAH7/ARMC2/DNAI4/KIF9/ENKUR/CCDC40/DNAI1/ODAD4/NEURL1/ODAD2/CFAP73/DNAI2/PIERCE1/DNAAF11/TTC12/CFAP221/TEKT1/NHERF1/DNAH1/TTC29/ODAD3/GAS2L2/CFAP53/NME5/SLC9B2/TACR3/DNAAF6/KATNIP/ASH1L/TMF1/CFAP157/STK36
GO:0035082	axoneme assembly	93	0.7692949153103389	2.6563142520773066	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2205	tags=66%, list=10%, signal=59%	SPEF2/SPAG16/ODAD1/ZMYND10/TEKT2/FOXJ1/IQCG/CFAP47/DRC1/CFAP43/GAS8/SPAG17/RSPH4A/CFAP46/SPAG6/RSPH9/CC2D2A/CLXN/MNS1/DNAAF1/JHY/HYDIN/SPAG1/HOATZ/CFAP74/SPEF1/CFAP44/LRRC61/DRC7/CCDC103/RSPH1/CFAP69/SPACA9/CCDC65/DNAI3/CFAP65/LRRC43/DNAH5/DNAH7/ARMC2/DNAI4/CCDC40/IFT56/DNAI1/ODAD4/NEURL1/ODAD2/CFAP73/DNAI2/PIERCE1/DNAAF11/TTC12/DNAH1/ODAD3/DNAAF3/DNAAF6/DNAAF8/DNAAF10/CFAP157/DNAL1/STK36
GO:0001539	cilium or flagellum-dependent cell motility	119	0.7300593468294945	2.6138852834623516	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2141	tags=47%, list=10%, signal=43%	SPEF2/SPAG16/TEKT2/IQCG/DNAH11/PLTP/CFAP47/DNAH6/DRC1/CFAP52/CFAP43/GAS8/CFAP45/TTLL9/RSPH4A/CFAP46/SPAG6/RSPH9/ROPN1L/CLXN/DNAH9/MNS1/CFAP54/HOATZ/CFAP44/CFAP251/DRC7/CFAP69/EFHC1/ENO4/CCDC65/DPCD/LZTFL1/DNAI3/CFAP65/DNAH5/DNAH7/ARMC2/KIF9/ENKUR/CCDC40/DNAI1/NEURL1/DNAAF11/TTC12/CFAP221/TEKT1/DNAH1/ODAD3/GAS2L2/SLC9B2/TACR3/DNAAF6/ASH1L/TMF1/CFAP157
GO:0060285	cilium-dependent cell motility	119	0.7300593468294945	2.6138852834623516	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2141	tags=47%, list=10%, signal=43%	SPEF2/SPAG16/TEKT2/IQCG/DNAH11/PLTP/CFAP47/DNAH6/DRC1/CFAP52/CFAP43/GAS8/CFAP45/TTLL9/RSPH4A/CFAP46/SPAG6/RSPH9/ROPN1L/CLXN/DNAH9/MNS1/CFAP54/HOATZ/CFAP44/CFAP251/DRC7/CFAP69/EFHC1/ENO4/CCDC65/DPCD/LZTFL1/DNAI3/CFAP65/DNAH5/DNAH7/ARMC2/KIF9/ENKUR/CCDC40/DNAI1/NEURL1/DNAAF11/TTC12/CFAP221/TEKT1/DNAH1/ODAD3/GAS2L2/SLC9B2/TACR3/DNAAF6/ASH1L/TMF1/CFAP157
GO:0060294	cilium movement involved in cell motility	114	0.7235748122107094	2.575066674407869	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2141	tags=46%, list=10%, signal=42%	SPEF2/SPAG16/TEKT2/IQCG/DNAH11/PLTP/CFAP47/DNAH6/CFAP52/CFAP43/GAS8/CFAP45/TTLL9/RSPH4A/CFAP46/SPAG6/RSPH9/ROPN1L/CLXN/DNAH9/MNS1/CFAP54/HOATZ/CFAP44/CFAP251/DRC7/CFAP69/ENO4/DPCD/LZTFL1/DNAI3/CFAP65/DNAH5/DNAH7/ARMC2/KIF9/ENKUR/CCDC40/DNAI1/NEURL1/DNAAF11/TTC12/CFAP221/TEKT1/DNAH1/ODAD3/GAS2L2/SLC9B2/TACR3/DNAAF6/ASH1L/TMF1/CFAP157
GO:0030317	flagellated sperm motility	93	0.731970212797028	2.5274350182913183	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2141	tags=47%, list=10%, signal=43%	SPEF2/SPAG16/TEKT2/IQCG/DNAH11/PLTP/CFAP47/CFAP52/CFAP43/GAS8/CFAP45/TTLL9/SPAG6/ROPN1L/CLXN/MNS1/CFAP54/HOATZ/CFAP44/CFAP251/DRC7/CFAP69/ENO4/DPCD/LZTFL1/CFAP65/DNAH5/ARMC2/KIF9/ENKUR/CCDC40/DNAI1/NEURL1/DNAAF11/TTC12/CFAP221/DNAH1/ODAD3/SLC9B2/TACR3/DNAAF6/ASH1L/TMF1/CFAP157
GO:0097722	sperm motility	93	0.731970212797028	2.5274350182913183	1e-10	2.3465000000000002e-8	1.895263157894737e-8	2141	tags=47%, list=10%, signal=43%	SPEF2/SPAG16/TEKT2/IQCG/DNAH11/PLTP/CFAP47/CFAP52/CFAP43/GAS8/CFAP45/TTLL9/SPAG6/ROPN1L/CLXN/MNS1/CFAP54/HOATZ/CFAP44/CFAP251/DRC7/CFAP69/ENO4/DPCD/LZTFL1/CFAP65/DNAH5/ARMC2/KIF9/ENKUR/CCDC40/DNAI1/NEURL1/DNAAF11/TTC12/CFAP221/DNAH1/ODAD3/SLC9B2/TACR3/DNAAF6/ASH1L/TMF1/CFAP157
GO:0001578	microtubule bundle formation	122	0.6879444044001255	2.457493244760099	1e-10	2.3465000000000002e-8	1.895263157894737e-8	3228	tags=62%, list=15%, signal=53%	SPEF2/SPAG16/ODAD1/ZMYND10/TEKT2/TPPP3/FOXJ1/IQCG/CFAP47/DRC1/CFAP43/GAS8/SPAG17/RSPH4A/CFAP46/SPAG6/RSPH9/CC2D2A/CLXN/MNS1/DNAAF1/JHY/HYDIN/SPAG1/HOATZ/CFAP74/SPEF1/CFAP44/LRRC61/DRC7/CCDC103/RSPH1/CFAP69/SPACA9/CCDC65/DNAI3/CFAP65/LRRC43/DNAH5/DNAH7/ARMC2/DNAI4/CCDC40/IFT56/DNAI1/ODAD4/NEURL1/ODAD2/CFAP73/DNAI2/PIERCE1/MTCL1/DNAAF11/TTC12/DNAH1/ODAD3/GAS2L2/DNAAF3/DNAAF6/GAS2L1/DNAAF8/DNAAF10/CFAP157/DNAL1/STK36/CLUAP1/TPPP/LRGUK/CFAP91/CFAP100/TRIM46/DNAAF4/TOGARAM1/FES/DNAH17/NUMA1
GO:0044782	cilium organization	389	0.5995973597583036	2.4349562359988615	1e-10	2.3465000000000002e-8	1.895263157894737e-8	3574	tags=46%, list=17%, signal=39%	SPEF2/SPAG16/ODAD1/ZMYND10/TEKT2/KIF3B/CIMAP3/OFD1/CFAP70/FOXJ1/DUSP23/IQCG/CFAP47/TMEM231/DRC1/CFAP43/GAS8/SPAG17/UBXN10/RSPH4A/CCDC113/CFAP46/SPAG6/ERICH3/RSPH9/CC2D2A/CLXN/YAP1/MNS1/DNAAF1/JHY/GMNC/CFAP126/HYDIN/SPAG1/CFAP54/TCTN2/HOATZ/CFAP74/SPEF1/CFAP44/ALPK1/TCTN1/LRRC61/DRC7/CCDC103/CIBAR2/ABCC4/RSPH1/CFAP69/CEP41/ENO4/SPACA9/CCDC65/NEDD9/DNAI3/MAK/CFAP161/CFAP61/WDR35/CFAP65/RFX2/KIF27/LRRC43/DNAH5/ABLIM3/CEP126/DNAH7/WDR54/IFT172/ARMC2/DNAI4/CCNO/KIF19/IFT140/DCDC2/RPGR/IFT46/CCDC40/IFT56/TUB/DNAI1/IFT122/B9D1/DNMBP/ODAD4/IQUB/NEURL1/ODAD2/CFAP73/DNAI2/PIERCE1/DNAAF11/TTC12/CFAP221/MAPK15/FLNA/BBOF1/TEKT1/NHERF1/IFT70B/DNAH1/TTC29/ODAD3/GSN/NME5/CLCN4/DNAAF3/CROCC/KIF24/UNC119B/DNAAF6/RILPL2/CDKL5/TCTN3/CPLANE1/MCIDAS/BBS12/BBS5/LCA5/DNAAF8/IFT22/DNAAF10/FUZ/IFT70A/SSX2IP/SEPTIN9/CFAP157/WDR19/DNAL1/ENKD1/STK36/LCA5L/CCDC57/RAB3IP/AHI1/TRAF3IP1/DYNC2H1/TTC8/PARVA/CEP164/KCTD17/CLUAP1/CEP19/ABLIM1/DZIP1/LRGUK/SYNE2/HYLS1/CFAP91/CFAP100/DYNC2I2/CDC14A/ARL6/CEP83/GALNT11/FBF1/PKHD1/DYNC2I1/DNAAF4/CATIP/TOGARAM1/IFT57/RILPL1/DNAH17/TMEM107/RILP/TTC17/WDR90/IFT43/MAP4/OCRL/IFT88/HDAC6/PKD2/TMEM67/WDPCP/DNAAF5/DNAJB13
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	43	0.8049194650643541	2.419887875212738	1e-10	2.3465000000000002e-8	1.895263157894737e-8	1899	tags=72%, list=9%, signal=66%	SPEF2/SPAG16/OFD1/DNAH11/CFAP43/GAS8/CFAP45/SPAG17/RSPH4A/SPAG6/ROPN1L/DNAH9/DNAAF1/JHY/CFAP54/NEK10/CCDC103/DPCD/KIF27/DNAH5/CCDC40/DNAI1/ODAD4/DNAAF11/CFAP221/NHERF1/DNAH1/ODAD3/CFAP53/NME5/KATNIP
