ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0003341	cilium movement	146	0.517179704890735	2.2771657555389004	3.0798938179769107e-10	1.3603890994004015e-6	1.2569208770838404e-6	4044	tags=49%, list=23%, signal=38%	TTC21A/GAS8/CAMSAP3/OFD1/CFAP73/CATSPER2/TPGS1/TTLL3/ROPN1L/CFAP157/SPAG17/TTC12/CFAP45/TEKT2/HOATZ/DNAH14/CFAP69/CFAP251/QRICH2/PLA2G3/DNAH1/STK36/DNAAF1/DRC7/DNAH3/ADCY3/ODAD4/GAS2L2/CFAP58/DAW1/DNAH10/CFAP221/ARMC12/DNAI2/ROPN1B/DNAH11/NPHP4/ODAD1/CFAP100/CLXN/CEP131/CCDC103/CFAP46/ZMYND10/DNAI1/DNHD1/INPP5B/TEKT3/RSPH4A/VDAC3/HYDIN/CFAP52/DNAAF5/SLC9B1/PIERCE1/BBS1/CFAP43/BBS2/CFAP70/CFAP65/TEKT1/TEKT4/TTC29/SEPTIN4/NPHP3/CCDC65/CFAP91/DNAH9/CFAP47/ODAD3/ARMC2
GO:0035082	axoneme assembly	85	0.5979042438077016	2.435124678574043	1.2541399990358107e-9	2.769768187870588e-6	2.5591056717167573e-6	4044	tags=55%, list=23%, signal=43%	GAS8/CFAP73/TPGS1/TTLL3/CFAP157/SPAG17/CFAP74/TTC12/TEKT2/HOATZ/CFAP69/PLA2G3/DNAH1/STK36/DNAAF1/DRC7/ODAD4/CFAP58/DAW1/LRRC61/DNAI2/DCX/ODAD1/CFAP100/CLXN/CEP131/CCDC103/CFAP46/ZMYND10/DNAI1/RSPH1/LRRC43/RSPH4A/HYDIN/DNAAF5/PIERCE1/DNAAF3/CFAP43/BBS2/CFAP65/TOGARAM1/DNAAF8/CCDC65/CFAP91/CFAP47/ODAD3/ARMC2
GO:0001578	microtubule bundle formation	111	0.5376233103036023	2.2731230995396574	5.8811212458406385e-09	8.658970847626034e-6	8.000388445657599e-6	4044	tags=50%, list=23%, signal=38%	GAS8/CFAP73/TPGS1/MAP1S/TTLL3/CFAP157/SPAG17/CFAP74/TTC12/TEKT2/HOATZ/CFAP69/PLA2G3/DNAH1/STK36/MAP1B/DNAAF1/DRC7/ODAD4/GAS2L2/CCDC66/CFAP58/DAW1/LRRC61/DNAI2/DCX/ODAD1/CFAP100/CLXN/CEP131/CCDC103/CFAP46/ZMYND10/DNAI1/RSPH1/LRRC43/RSPH4A/PLK1/HYDIN/TRIM46/DNAAF5/PIERCE1/DNAAF3/CFAP43/AAAS/BBS2/CFAP65/TOGARAM1/DNAAF8/CCDC65/CFAP91/MARK4/CFAP47/ODAD3/ARMC2
GO:0044782	cilium organization	376	0.36993790170553575	1.8079552022322127	7.707820995869071e-8	6.809089067750737e-5	6.291204631786188e-5	4044	tags=36%, list=23%, signal=28%	TTC21A/EHD1/GAS8/WDR90/IFT27/OCRL/OFD1/CFAP73/TPGS1/DUSP23/CROCC/TTLL3/CCDC57/WDR19/LAMA5/CFAP157/SPAG17/CFAP74/TTC12/TEKT2/HOATZ/TBC1D32/KIF3B/TESK1/RABL2B/MACIR/CFAP69/MAK/CDK10/WRAP73/MAPK15/PLA2G3/CSNK1D/DNAH1/ENKD1/ENTR1/RAB17/RILPL1/STK36/CIBAR1/DNAAF1/EVI5L/DRC7/CFAP410/CFAP161/RPGR/ODAD4/WDR44/ODF2/CCNO/CCDC66/CFAP58/DAW1/LRRC61/FBF1/CFAP221/AHI1/RABEP2/ARMC12/DYNLT2B/CIBAR2/KIF19/CLCN4/IFT25/DNAI2/DCX/GMNC/ROPN1B/SSNA1/ODAD1/CFAP100/CLXN/CEP131/CATIP/CCDC103/CFAP46/CCDC13/ZMYND10/DZIP1L/DNAI1/RAB11FIP3/RSPH1/PPP1R35/DNHD1/TEKT3/ABCC4/LRRC43/CIMAP3/RSPH4A/VDAC3/HYDIN/LCA5/BBS5/KIF24/DNAAF5/IFT52/PIERCE1/BBS1/DNAAF3/FUZ/CFAP43/CEP135/BBS2/CFAP70/ONECUT2/LCA5L/CFAP126/CFAP65/DYNC2I2/IFT140/CEP350/TEKT1/TEKT4/PTPN23/DYNC2I1/TOGARAM1/DNAAF8/TTC29/TMEM250/KCNF1/EHD4/UBXN10/ODF2L/NPHP3/CCDC65/CFAP91/ABLIM3/TTC8/BBIP1/ERICH3/MARK4/CFAP47/ODAD3/MPHOSPH9/ARMC2
GO:0060294	cilium movement involved in cell motility	103	0.5123351839428443	2.1452804301302546	1.8128663057623766e-7	1.3345717454254027e-4	1.2330671346387254e-4	4044	tags=49%, list=23%, signal=38%	TTC21A/GAS8/CATSPER2/TPGS1/TTLL3/ROPN1L/CFAP157/TTC12/CFAP45/TEKT2/HOATZ/DNAH14/CFAP69/CFAP251/QRICH2/PLA2G3/DNAH1/DRC7/DNAH3/ADCY3/GAS2L2/CFAP58/DNAH10/CFAP221/ARMC12/ROPN1B/DNAH11/NPHP4/CLXN/CEP131/CFAP46/DNAI1/DNHD1/INPP5B/TEKT3/RSPH4A/VDAC3/CFAP52/SLC9B1/BBS1/CFAP43/BBS2/CFAP65/TEKT1/TEKT4/SEPTIN4/DNAH9/CFAP47/ODAD3/ARMC2
GO:0009201	ribonucleoside triphosphate biosynthetic process	98	0.4788417973795297	1.9901117642330108	7.25092369690582e-6	0.0026689441641027504	0.002465950102886304	4223	tags=40%, list=24%, signal=30%	NDUFAB1/ATP5F1D/NDUFS7/ANTKMT/TMSB4X/VPS9D1/UCKL1/NDUFB10/NDUFA13/NDUFB1/NDUFA11/TAFAZZIN/ATP5MK/IMPDH1/ATP5MC1/NDUFV1/NME3/NDUFB11/NME9/NDUFB9/NDUFB4/NDUFB8/NDUFS3/SPHK2/ATP5PO/ALDOA/ATP5F1B/PPARA/NME2/CAD/NDUFB7/NDUFS6/NDUFA12/NME7/ATP5PD/ATP5ME/ATPSCKMT/CTPS2/NDUFV3
GO:0050804	modulation of chemical synaptic transmission	417	-0.29243648489056884	-1.535199483888869	8.47969816498613e-6	0.0028811405226725952	0.002662007270093217	3448	tags=29%, list=20%, signal=24%	MTMR2/GNAI2/RAB5A/PAIP2/NCSTN/NF1/DTNBP1/PRNP/LARGE1/GRM2/MEF2C/GRID2/CHRNB3/FAM107A/ZDHHC3/GRM1/WNT5A/PREPL/SNCAIP/GRIA1/MAPK1/DYSF/FBXL20/SSH1/ERC1/DAG1/PLCB1/GRIN2A/YWHAH/RAPGEF2/ITGB1/SLC4A10/SV2C/CHRNA7/CALB2/ZDHHC2/SLC7A11/AKAP12/BTBD9/GRIN1/SNAP25/CPLX2/BCHE/RELN/ATP2A2/GSK3B/EPHB2/CACNB4/MECP2/CACNG5/GABBR1/PSEN1/SYT1/NLGN1/DRD1/ASIC1/GABRR1/SLC6A9/SYT12/NGFR/USP8/USP46/LZTS1/LRRK2/FXR1/SHISA6/RPS6KB1/DRD2/ADCY1/UNC13C/NPY5R/ATAD1/RNF167/NETO1/BDNF/KIF5B/VAMP2/SLC8A3/S100B/PLAT/NTRK1/KCNQ3/CDH2/RAB3GAP1/GRIA4/ATF4/CACNG4/HIP1/NEFH/F2R/KCNB1/PRKACA/ABHD6/FRRS1L/SNCG/PDE9A/LRRTM2/NLGN3/PTN/P2RX3/LRRC4/EFNB3/NTNG2/CHRNB2/OPHN1/TACR1/GRIN2C/CACNG3/CSPG5/YTHDF1/ABR/GRIK3/KCNMB4/AKAP5/RGS14/CHRNA6/BACE1/PACSIN2/ABL1/UBE3A/PTPRA/GRIK1/TPRG1L
GO:0009060	aerobic respiration	163	0.4121971472855986	1.8438771558988825	1.7921367129069468e-5	0.004729977845616015	0.00437022606614475	4128	tags=36%, list=23%, signal=27%	NDUFAB1/SNCA/COX5B/MLXIPL/ATP5F1D/COX5A/NDUFS7/ANTKMT/SURF1/TRPV4/PDHA1/CBFA2T3/NDUFB10/NDUFA4/NDUFA13/NDUFB1/CHCHD10/CHCHD2/NDUFA11/OGDHL/TAFAZZIN/SLC25A14/UQCRC1/NDUFV1/NDUFB11/NDUFB9/CYC1/COX7A2/NDUFB4/NDUFB8/SLC25A33/COA6/NDUFS3/SUCLG1/IDH3A/FH/ATP5PO/CCNB1/IDH3G/ABCD1/ATP5F1B/COX6B1/NNT/NDUFB7/MACROH2A1/DNAJC15/ACO1/IDH2/NDUFS6/NDUFA12/PDHB/ACO2/ATP5PD/ATP5ME/UQCRQ/ATPSCKMT/OGDH/UQCR10
GO:0046390	ribose phosphate biosynthetic process	200	0.39224902794032374	1.7858407656118869	2.0765883331579044e-5	0.005095717037532479	0.004708147934300115	3376	tags=28%, list=19%, signal=23%	NDUFAB1/SNCA/ATP5F1D/NDUFS7/ANTKMT/ACSS2/ACSL6/TMSB4X/VPS9D1/HPRT1/SLC25A1/PDHA1/UCKL1/NDUFB10/UPP1/NDUFA13/NDUFB1/NDUFA11/GUCY1A1/PRPS2/MPC2/SLC27A2/TAFAZZIN/ATP5MK/ADCY3/ELOVL1/ELOVL7/IMPDH1/PDK1/ATP5MC1/GUCY1A2/GUCY1B1/ACSF3/NDUFV1/NME3/PDK3/NDUFB11/NME9/NDUFB9/DIP2A/ACSL4/G6PD/NDUFB4/NDUFB8/NDUFS3/SPHK2/ACOT7/ATP5PO/ALDOA/ATP5F1B/PPARA/NME2/CAD/NDUFB7/AK3/ACSS1
GO:0034976	response to endoplasmic reticulum stress	239	-0.32195615705999997	-1.5946504485438402	3.62357716310871e-5	0.006958843621500509	0.006429569181406164	4416	tags=39%, list=25%, signal=30%	MAN1A2/BAG6/NFE2L2/TMEM33/CERT1/UBQLN2/RHBDD1/FICD/RHBDD2/PDIA4/EIF2AK2/ERLEC1/NOD1/DAB2IP/ERP44/RNF183/USP14/AFF4/TTC23L/SCAMP5/GRINA/XBP1/PTPN1/UBE2J1/TOR1A/SIRT1/HYOU1/BCL2/SELENOS/DNAJB9/TRIB3/DERL1/UGGT1/EDEM1/BBC3/HM13/RNF185/ERP29/ERO1A/CLGN/AMFR/OS9/HSPA1A/SERP1/HERPUD1/COPS5/NPLOC4/SERINC3/UBE4A/CLU/ATP2A2/GSK3B/UBXN1/UBAC2/RNF121/DERL2/HSPA5/MBTPS1/LRRK2/NIBAN1/PDIA6/FAF2/RNF175/YOD1/STC2/EIF2S1/CHAC1/UBA5/NRBF2/PDIA3/BFAR/VAPB/SEL1L/DNAJC3/TMBIM6/EDEM3/DDIT3/ATF3/ATF4/UBE2G2/UFM1/TMX1/PARP8/RNF139/PPP1R15B/SELENOK/HSP90B1/PPP1R15A/CANX/SESN2/TMCO1/ATF6/FBXO27/ABL1
