gene_id	gene_symbol	iso_GS_1_mRNA	iso_GS_2_mRNA	iso_MC_1_mRNA	iso_MC_2_mRNA
ENSG00000227232.6	WASH7P	92.40774927062323	116.82565945203545	69.92346977503037	72.88722727971702
ENSG00000279457.4	WASH9P	51.576418197557146	36.02124499771093	56.35622937092	52.19085410152577
ENSG00000290385.1	ENSG00000290385	26.862717811227682	22.391584728306796	30.265382439938517	28.7949539870487
ENSG00000237973.1	MTCO1P12	50.501909485108044	53.545093915516254	44.876256721288144	51.2910117894305
ENSG00000248527.1	MTATP6P1	126.79202806899465	100.27535769633043	126.27969914595036	101.68218126676572
ENSG00000291215.1	ENSG00000291215	39.75682236061697	35.047697835610634	24.00357917650296	41.39274635638251
ENSG00000237491.10	LINC01409	48.352892060209825	45.75671661871389	50.09442610748444	53.99053872571631
ENSG00000177757.2	FAM87B	1.0745087124491073	10.70901878310325	18.785409790306666	5.399053872571631
ENSG00000225880.6	LINC00115	33.309770085922324	32.127056349309754	29.221748562699258	30.594638611239244
ENSG00000228794.12	LINC01128	704.8777153666143	717.5042584679178	682.5365557144755	653.2855185811674
ENSG00000272438.1	ENSG00000272438	24.713700386329467	26.28577337670798	13.56724040411037	13.497634681429078
ENSG00000230699.2	ENSG00000230699	101.00381897021609	110.01082931733339	113.75609261907925	80.98580808857447
ENSG00000223764.2	LINC02593	448.07013309127774	502.3503356437525	258.8212015553363	240.25789732943758
ENSG00000187634.13	SAMD11	1583.825842149984	2104.808964460839	974.7540413414681	868.3478311719374
ENSG00000188976.11	NOC2L	1969.5744699192137	2017.1897198718123	2257.3800764685175	2237.007987868846
ENSG00000187961.15	KLHL17	179.44295497900092	186.92105512325674	170.11232198999923	159.27208924086312
ENSG00000188290.11	HES4	310.533017897792	302.7731674131919	301.6101905221459	269.0528513164863
ENSG00000187608.10	ISG15	76.29011858388662	80.80441445432453	33.3962840716563	56.69006566200213
ENSG00000188157.15	AGRN	3654.404131039414	3853.2996675929694	3529.5697728231744	2862.39839477506
ENSG00000291156.1	ENSG00000291156	75.21560987143751	64.25411269861951	49.05079223024518	59.38959259828795
ENSG00000217801.13	ENSG00000217801	24.713700386329467	13.629660269404138	5.218169386196296	8.998423120952719
ENSG00000131591.18	C1orf159	198.78411180308484	194.7094324200591	256.73393380085776	217.7618395270558
ENSG00000205231.1	TTLL10-AS1	9.670578412041966	13.629660269404138	18.785409790306666	15.297319305619622
ENSG00000162571.14	TTLL10	31.160752661024112	35.047697835610634	26.090846930981478	17.996846241905438
ENSG00000078808.20	SDF4	2776.5305129684934	2781.424242120544	2379.485240105511	2407.9780271669474
ENSG00000176022.7	B3GALT6	1546.2180372142655	1570.3315724677766	1399.5130293778466	1389.3565298750998
