SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
170498,9606.ENSP00000259915 (pp) 9606.ENSP00000330218,pp,9606.ENSP00000259915 (pp) 9606.ENSP00000330218,False,pp,0.752,,0.0,0.0,0.0,0.0,0.113,0.0,0.732
171011,9606.ENSP00000330218 (pp) 9606.ENSP00000375921,pp,9606.ENSP00000330218 (pp) 9606.ENSP00000375921,False,pp,0.576,,0.0,0.0,0.0,0.169,0.065,0.0,0.498
171008,9606.ENSP00000329794 (pp) 9606.ENSP00000361708,pp,9606.ENSP00000329794 (pp) 9606.ENSP00000361708,False,pp,0.95,,0.0,0.0,0.0,0.084,0.0,0.0,0.948
171014,9606.ENSP00000330218 (pp) 9606.ENSP00000331040,pp,9606.ENSP00000330218 (pp) 9606.ENSP00000331040,False,pp,0.64,,0.0,0.0,0.0,0.109,0.063,0.0,0.603
169991,9606.ENSP00000172229 (pp) 9606.ENSP00000442521,pp,9606.ENSP00000172229 (pp) 9606.ENSP00000442521,False,pp,0.5,,0.0,0.0,0.0,0.0,0.059,0.0,0.491
170504,9606.ENSP00000259915 (pp) 9606.ENSP00000484638,pp,9606.ENSP00000259915 (pp) 9606.ENSP00000484638,False,pp,0.81,,0.0,0.0,0.0,0.055,0.8,0.0,0.075
171017,9606.ENSP00000330218 (pp) 9606.ENSP00000357206,pp,9606.ENSP00000330218 (pp) 9606.ENSP00000357206,False,pp,0.795,,0.0,0.0,0.0,0.062,0.0,0.0,0.791
170510,9606.ENSP00000259915 (pp) 9606.ENSP00000481486,pp,9606.ENSP00000259915 (pp) 9606.ENSP00000481486,False,pp,0.811,,0.0,0.0,0.0,0.06,0.802,0.0,0.068
171023,9606.ENSP00000330523 (pp) 9606.ENSP00000364140,pp,9606.ENSP00000330523 (pp) 9606.ENSP00000364140,False,pp,0.573,,0.0,0.0,0.0,0.151,0.0,0.0,0.518
171020,9606.ENSP00000330523 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000330523 (pp) 9606.ENSP00000355751,False,pp,0.52,,0.0,0.0,0.0,0.315,0.0,0.0,0.329
171026,9606.ENSP00000331040 (pp) 9606.ENSP00000357206,pp,9606.ENSP00000331040 (pp) 9606.ENSP00000357206,False,pp,0.836,,0.0,0.0,0.0,0.0,0.0,0.0,0.836
170513,9606.ENSP00000259915 (pp) 9606.ENSP00000328547,pp,9606.ENSP00000259915 (pp) 9606.ENSP00000328547,False,pp,0.83,,0.0,0.0,0.0,0.273,0.051,0.0,0.774
170519,9606.ENSP00000259915 (pp) 9606.ENSP00000335306,pp,9606.ENSP00000259915 (pp) 9606.ENSP00000335306,False,pp,0.885,,0.0,0.0,0.0,0.346,0.292,0.4,0.635
