SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
159233,9606.ENSP00000267377 (pp) 9606.ENSP00000360973,pp,9606.ENSP00000267377 (pp) 9606.ENSP00000360973,False,pp,0.51,,0.0,0.0,0.0,0.055,0.0,0.5,0.047
159242,9606.ENSP00000267584 (pp) 9606.ENSP00000310829,pp,9606.ENSP00000267584 (pp) 9606.ENSP00000310829,False,pp,0.521,,0.0,0.0,0.0,0.101,0.045,0.0,0.487
159248,9606.ENSP00000267584 (pp) 9606.ENSP00000348314,pp,9606.ENSP00000267584 (pp) 9606.ENSP00000348314,False,pp,0.603,,0.0,0.0,0.0,0.125,0.102,0.0,0.536
159254,9606.ENSP00000267584 (pp) 9606.ENSP00000378743,pp,9606.ENSP00000267584 (pp) 9606.ENSP00000378743,False,pp,0.663,,0.0,0.0,0.0,0.0,0.0,0.0,0.663
158744,9606.ENSP00000052754 (pp) 9606.ENSP00000360120,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000360120,False,pp,0.51,,0.0,0.0,0.0,0.042,0.1,0.0,0.478
159263,9606.ENSP00000272224 (pp) 9606.ENSP00000340226,pp,9606.ENSP00000272224 (pp) 9606.ENSP00000340226,False,pp,0.501,,0.0,0.0,0.0,0.0,0.071,0.0,0.485
159269,9606.ENSP00000282701 (pp) 9606.ENSP00000368104,pp,9606.ENSP00000282701 (pp) 9606.ENSP00000368104,False,pp,0.505,,0.0,0.0,0.0,0.0,0.0,0.0,0.505
159275,9606.ENSP00000282701 (pp) 9606.ENSP00000372170,pp,9606.ENSP00000282701 (pp) 9606.ENSP00000372170,False,pp,0.561,,0.0,0.0,0.0,0.0,0.0,0.0,0.561
159272,9606.ENSP00000282701 (pp) 9606.ENSP00000321797,pp,9606.ENSP00000282701 (pp) 9606.ENSP00000321797,False,pp,0.521,,0.0,0.0,0.0,0.051,0.0,0.0,0.516
158771,9606.ENSP00000052754 (pp) 9606.ENSP00000449404,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000449404,False,pp,0.511,,0.0,0.0,0.0,0.0,0.0,0.0,0.511
159287,9606.ENSP00000297261 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000379140,False,pp,0.516,,0.0,0.0,0.0,0.0,0.0,0.0,0.516
159284,9606.ENSP00000293441 (pp) 9606.ENSP00000340914,pp,9606.ENSP00000293441 (pp) 9606.ENSP00000340914,False,pp,0.552,,0.0,0.0,0.0,0.133,0.045,0.0,0.503
158777,9606.ENSP00000052754 (pp) 9606.ENSP00000398632,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000398632,False,pp,0.523,,0.0,0.0,0.0,0.069,0.0,0.0,0.508
158783,9606.ENSP00000052754 (pp) 9606.ENSP00000369889,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000369889,False,pp,0.602,,0.0,0.0,0.0,0.076,0.091,0.0,0.564
159293,9606.ENSP00000297261 (pp) 9606.ENSP00000374205,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000374205,False,pp,0.531,,0.0,0.0,0.0,0.0,0.071,0.0,0.516
159299,9606.ENSP00000297261 (pp) 9606.ENSP00000344479,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000344479,False,pp,0.586,,0.0,0.0,0.0,0.0,0.0,0.0,0.586
159302,9606.ENSP00000297261 (pp) 9606.ENSP00000302111,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000302111,False,pp,0.609,,0.0,0.0,0.0,0.0,0.0,0.0,0.609
158789,9606.ENSP00000052754 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000379140,False,pp,0.608,,0.0,0.0,0.0,0.403,0.0,0.0,0.371
