SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
180226,9606.ENSP00000321797 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000321797 (pp) 9606.ENSP00000346839,False,pp,0.799,,0.0,0.0,0.0,0.0,0.0,0.0,0.799
179203,9606.ENSP00000168712 (pp) 9606.ENSP00000318650,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000318650,False,pp,0.521,,0.0,0.0,0.0,0.0,0.0,0.0,0.521
179206,9606.ENSP00000168712 (pp) 9606.ENSP00000355896,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000355896,False,pp,0.524,,0.0,0.0,0.0,0.051,0.0,0.0,0.519
180229,9606.ENSP00000323588 (pp) 9606.ENSP00000340226,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000340226,False,pp,0.516,,0.0,0.0,0.0,0.0,0.0,0.0,0.516
180232,9606.ENSP00000323588 (pp) 9606.ENSP00000358677,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000358677,False,pp,0.537,,0.0,0.0,0.0,0.0,0.0,0.0,0.537
180238,9606.ENSP00000323588 (pp) 9606.ENSP00000441823,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000441823,False,pp,0.546,,0.0,0.0,0.0,0.189,0.331,0.0,0.23
179212,9606.ENSP00000168712 (pp) 9606.ENSP00000332879,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000332879,False,pp,0.542,,0.0,0.0,0.0,0.0,0.0,0.5,0.121
179218,9606.ENSP00000168712 (pp) 9606.ENSP00000295927,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000295927,False,pp,0.556,,0.0,0.0,0.0,0.0,0.0,0.0,0.556
180241,9606.ENSP00000323588 (pp) 9606.ENSP00000400175,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000400175,False,pp,0.567,,0.0,0.0,0.0,0.0,0.292,0.0,0.413
180247,9606.ENSP00000323588 (pp) 9606.ENSP00000344479,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000344479,False,pp,0.618,,0.0,0.0,0.0,0.0,0.0,0.0,0.618
180244,9606.ENSP00000323588 (pp) 9606.ENSP00000374205,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000374205,False,pp,0.609,,0.0,0.0,0.0,0.0,0.064,0.0,0.599
179221,9606.ENSP00000168712 (pp) 9606.ENSP00000327336,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000327336,False,pp,0.606,,0.0,0.0,0.0,0.0,0.0,0.0,0.606
180250,9606.ENSP00000323588 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000346839,False,pp,0.622,,0.0,0.0,0.0,0.05,0.089,0.0,0.598
179227,9606.ENSP00000168712 (pp) 9606.ENSP00000357206,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000357206,False,pp,0.619,,0.0,0.0,0.0,0.067,0.045,0.0,0.607
179230,9606.ENSP00000168712 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000379140,False,pp,0.625,,0.0,0.0,0.0,0.0,0.0,0.0,0.625
180253,9606.ENSP00000323588 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000359864,False,pp,0.626,,0.0,0.0,0.0,0.122,0.292,0.0,0.448
180256,9606.ENSP00000323588 (pp) 9606.ENSP00000375921,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000375921,False,pp,0.655,,0.0,0.0,0.0,0.129,0.065,0.0,0.61
180262,9606.ENSP00000323588 (pp) 9606.ENSP00000437621,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000437621,False,pp,0.697,,0.0,0.0,0.0,0.105,0.0,0.0,0.676
179239,9606.ENSP00000168712 (pp) 9606.ENSP00000351807,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000351807,False,pp,0.649,,0.0,0.0,0.0,0.042,0.0,0.0,0.649
179236,9606.ENSP00000168712 (pp) 9606.ENSP00000257566,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000257566,False,pp,0.639,,0.0,0.0,0.0,0.0,0.0,0.0,0.639
179242,9606.ENSP00000168712 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000391826,False,pp,0.654,,0.0,0.0,0.0,0.066,0.0,0.0,0.645
180265,9606.ENSP00000323588 (pp) 9606.ENSP00000495996,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000495996,False,pp,0.705,,0.0,0.0,0.0,0.122,0.132,0.0,0.644
180268,9606.ENSP00000323588 (pp) 9606.ENSP00000330218,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000330218,False,pp,0.771,,0.0,0.0,0.053,0.109,0.51,0.0,0.513
179245,9606.ENSP00000168712 (pp) 9606.ENSP00000321797,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000321797,False,pp,0.681,,0.0,0.0,0.109,0.072,0.0,0.4,0.433
180274,9606.ENSP00000323588 (pp) 9606.ENSP00000335306,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000335306,False,pp,0.787,,0.0,0.0,0.0,0.179,0.0,0.4,0.603
179251,9606.ENSP00000168712 (pp) 9606.ENSP00000172229,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000172229,False,pp,0.762,,0.0,0.0,0.0,0.0,0.0,0.65,0.348
180277,9606.ENSP00000323588 (pp) 9606.ENSP00000484658,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000484658,False,pp,0.833,,0.0,0.0,0.0,0.0,0.8,0.0,0.201
180283,9606.ENSP00000323588 (pp) 9606.ENSP00000366144,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000366144,False,pp,0.874,,0.0,0.0,0.0,0.44,0.762,0.0,0.133
179257,9606.ENSP00000168712 (pp) 9606.ENSP00000498748,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000498748,False,pp,0.781,,0.0,0.0,0.0,0.0,0.0,0.0,0.781
180286,9606.ENSP00000323588 (pp) 9606.ENSP00000357206,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000357206,False,pp,0.891,,0.0,0.0,0.0,0.111,0.0,0.0,0.883
179260,9606.ENSP00000168712 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000346839,False,pp,0.799,,0.0,0.0,0.0,0.0,0.0,0.0,0.799
179266,9606.ENSP00000168712 (pp) 9606.ENSP00000288135,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000288135,False,pp,0.858,,0.0,0.0,0.0,0.0,0.168,0.65,0.554
180289,9606.ENSP00000323588 (pp) 9606.ENSP00000329170,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000329170,False,pp,0.899,,0.0,0.0,0.0,0.14,0.132,0.0,0.875
180295,9606.ENSP00000327336 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000327336 (pp) 9606.ENSP00000359864,False,pp,0.635,,0.0,0.0,0.0,0.067,0.051,0.5,0.273
180292,9606.ENSP00000327336 (pp) 9606.ENSP00000366246,pp,9606.ENSP00000327336 (pp) 9606.ENSP00000366246,False,pp,0.607,,0.0,0.0,0.0,0.085,0.051,0.5,0.202
180298,9606.ENSP00000327336 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000327336 (pp) 9606.ENSP00000379140,False,pp,0.646,,0.0,0.0,0.0,0.223,0.0,0.0,0.564
179275,9606.ENSP00000168712 (pp) 9606.ENSP00000222390,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000222390,False,pp,0.883,,0.0,0.0,0.0,0.0,0.0,0.0,0.883
179272,9606.ENSP00000168712 (pp) 9606.ENSP00000323588,pp,9606.ENSP00000168712 (pp) 9606.ENSP00000323588,False,pp,0.865,,0.0,0.0,0.0,0.083,0.0,0.0,0.859
180301,9606.ENSP00000327336 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000327336 (pp) 9606.ENSP00000355751,False,pp,0.693,,0.0,0.0,0.0,0.362,0.099,0.0,0.508
180307,9606.ENSP00000327336 (pp) 9606.ENSP00000416330,pp,9606.ENSP00000327336 (pp) 9606.ENSP00000416330,False,pp,0.821,,0.0,0.0,0.0,0.184,0.045,0.0,0.789
