SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
196099,9606.ENSP00000244050 (pp) 9606.ENSP00000306245,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000306245,False,pp,0.585,,0.0,0.0,0.0,0.063,0.292,0.0,0.425
196096,9606.ENSP00000244050 (pp) 9606.ENSP00000341189,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000341189,False,pp,0.581,,0.0,0.0,0.0,0.0,0.0,0.0,0.581
196609,9606.ENSP00000329668 (pp) 9606.ENSP00000361423,pp,9606.ENSP00000329668 (pp) 9606.ENSP00000361423,False,pp,0.905,,0.0,0.0,0.0,0.0,0.073,0.9,0.059
196615,9606.ENSP00000329668 (pp) 9606.ENSP00000384675,pp,9606.ENSP00000329668 (pp) 9606.ENSP00000384675,False,pp,0.921,,0.0,0.0,0.0,0.0,0.067,0.9,0.227
196612,9606.ENSP00000329668 (pp) 9606.ENSP00000341189,pp,9606.ENSP00000329668 (pp) 9606.ENSP00000341189,False,pp,0.909,,0.0,0.0,0.0,0.0,0.0,0.9,0.133
196618,9606.ENSP00000329668 (pp) 9606.ENSP00000362680,pp,9606.ENSP00000329668 (pp) 9606.ENSP00000362680,False,pp,0.929,,0.0,0.0,0.0,0.0,0.073,0.9,0.304
196105,9606.ENSP00000244050 (pp) 9606.ENSP00000361423,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000361423,False,pp,0.609,,0.0,0.0,0.0,0.096,0.0,0.0,0.585
196111,9606.ENSP00000244050 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000346839,False,pp,0.815,,0.0,0.0,0.0,0.057,0.143,0.0,0.79
196108,9606.ENSP00000244050 (pp) 9606.ENSP00000362680,pp,9606.ENSP00000244050 (pp) 9606.ENSP00000362680,False,pp,0.612,,0.0,0.0,0.0,0.042,0.0,0.0,0.612
196627,9606.ENSP00000338057 (pp) 9606.ENSP00000494697,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000494697,False,pp,0.552,,0.0,0.0,0.0,0.087,0.51,0.0,0.08
196624,9606.ENSP00000332879 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000332879 (pp) 9606.ENSP00000346839,False,pp,0.809,,0.0,0.0,0.0,0.067,0.0,0.0,0.804
196630,9606.ENSP00000338057 (pp) 9606.ENSP00000367806,pp,9606.ENSP00000338057 (pp) 9606.ENSP00000367806,False,pp,0.556,,0.0,0.0,0.0,0.146,0.501,0.0,0.043
