SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
186369,9606.ENSP00000287152 (pp) 9606.ENSP00000388241,pp,9606.ENSP00000287152 (pp) 9606.ENSP00000388241,False,pp,0.572,,0.0,0.0,0.0,0.0,0.0,0.54,0.109
186375,9606.ENSP00000287152 (pp) 9606.ENSP00000301332,pp,9606.ENSP00000287152 (pp) 9606.ENSP00000301332,False,pp,0.609,,0.0,0.0,0.0,0.067,0.0,0.54,0.162
186384,9606.ENSP00000289013 (pp) 9606.ENSP00000343325,pp,9606.ENSP00000289013 (pp) 9606.ENSP00000343325,False,pp,0.877,,0.0,0.0,0.0,0.079,0.0,0.0,0.872
186390,9606.ENSP00000292408 (pp) 9606.ENSP00000352414,pp,9606.ENSP00000292408 (pp) 9606.ENSP00000352414,False,pp,0.996,,0.0,0.0,0.0,0.048,0.168,0.65,0.988
186396,9606.ENSP00000292539 (pp) 9606.ENSP00000301332,pp,9606.ENSP00000292539 (pp) 9606.ENSP00000301332,False,pp,0.554,,0.0,0.0,0.0,0.27,0.068,0.0,0.397
186402,9606.ENSP00000292539 (pp) 9606.ENSP00000435565,pp,9606.ENSP00000292539 (pp) 9606.ENSP00000435565,False,pp,0.617,,0.0,0.0,0.0,0.124,0.0,0.0,0.581
186411,9606.ENSP00000293879 (pp) 9606.ENSP00000421801,pp,9606.ENSP00000293879 (pp) 9606.ENSP00000421801,False,pp,0.868,,0.0,0.0,0.0,0.061,0.855,0.0,0.112
186414,9606.ENSP00000301332 (pp) 9606.ENSP00000388241,pp,9606.ENSP00000301332 (pp) 9606.ENSP00000388241,False,pp,0.641,,0.0,0.0,0.0,0.067,0.0,0.54,0.23
186423,9606.ENSP00000311344 (pp) 9606.ENSP00000368166,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000368166,False,pp,0.524,,0.0,0.0,0.0,0.0,0.0,0.5,0.088
186429,9606.ENSP00000311344 (pp) 9606.ENSP00000318641,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000318641,False,pp,0.994,,0.0,0.0,0.0,0.053,0.994,0.0,0.082
186435,9606.ENSP00000317780 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000346196,False,pp,0.926,,0.0,0.0,0.0,0.416,0.812,0.0,0.385
186432,9606.ENSP00000317780 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000419087,False,pp,0.884,,0.0,0.0,0.0,0.184,0.8,0.0,0.348
186438,9606.ENSP00000317780 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000458770,False,pp,0.986,,0.0,0.0,0.0,0.817,0.859,0.0,0.519
186444,9606.ENSP00000318641 (pp) 9606.ENSP00000491427,pp,9606.ENSP00000318641 (pp) 9606.ENSP00000491427,False,pp,0.998,,0.0,0.0,0.0,0.0,0.994,0.54,0.5
186450,9606.ENSP00000318641 (pp) 9606.ENSP00000403683,pp,9606.ENSP00000318641 (pp) 9606.ENSP00000403683,False,pp,0.999,,0.0,0.0,0.0,0.0,0.994,0.9,0.843
186459,9606.ENSP00000331608 (pp) 9606.ENSP00000378132,pp,9606.ENSP00000331608 (pp) 9606.ENSP00000378132,False,pp,0.937,,0.0,0.0,0.105,0.823,0.0,0.0,0.634
186201,9606.ENSP00000040877 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000040877 (pp) 9606.ENSP00000458770,False,pp,0.531,,0.0,0.0,0.0,0.047,0.497,0.0,0.102
186471,9606.ENSP00000342793 (pp) 9606.ENSP00000343325,pp,9606.ENSP00000342793 (pp) 9606.ENSP00000343325,False,pp,0.643,,0.0,0.0,0.0,0.1,0.292,0.0,0.485
186468,9606.ENSP00000341442 (pp) 9606.ENSP00000445786,pp,9606.ENSP00000341442 (pp) 9606.ENSP00000445786,False,pp,0.699,,0.0,0.0,0.0,0.523,0.0,0.0,0.395
186477,9606.ENSP00000346196 (pp) 9606.ENSP00000485527,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000485527,False,pp,0.541,,0.0,0.0,0.0,0.0,0.0,0.0,0.541
186483,9606.ENSP00000346196 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000419087,False,pp,0.998,,0.0,0.0,0.0,0.206,0.897,0.967,0.384
186480,9606.ENSP00000346196 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000500990,False,pp,0.65,,0.0,0.0,0.0,0.0,0.0,0.65,0.0
186486,9606.ENSP00000346196 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.124,0.992,0.967,0.536
186231,9606.ENSP00000215375 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000346196,False,pp,0.538,,0.0,0.0,0.0,0.259,0.095,0.0,0.366
186495,9606.ENSP00000349486 (pp) 9606.ENSP00000420525,pp,9606.ENSP00000349486 (pp) 9606.ENSP00000420525,False,pp,0.554,,0.0,0.0,0.0,0.057,0.046,0.102,0.513
186237,9606.ENSP00000215375 (pp) 9606.ENSP00000281031,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000281031,False,pp,0.755,,0.0,0.0,0.0,0.635,0.085,0.0,0.327
186498,9606.ENSP00000349486 (pp) 9606.ENSP00000368166,pp,9606.ENSP00000349486 (pp) 9606.ENSP00000368166,False,pp,0.818,,0.0,0.0,0.0,0.231,0.05,0.0,0.77
186240,9606.ENSP00000215375 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000458770,False,pp,0.924,,0.057,0.0,0.0,0.835,0.0,0.0,0.554
186246,9606.ENSP00000215375 (pp) 9606.ENSP00000258424,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000258424,False,pp,0.975,,0.0,0.0,0.0,0.929,0.091,0.0,0.647
186507,9606.ENSP00000352167 (pp) 9606.ENSP00000411124,pp,9606.ENSP00000352167 (pp) 9606.ENSP00000411124,False,pp,0.618,,0.0,0.0,0.0,0.049,0.0,0.0,0.614
186510,9606.ENSP00000352414 (pp) 9606.ENSP00000426809,pp,9606.ENSP00000352414 (pp) 9606.ENSP00000426809,False,pp,0.507,,0.0,0.0,0.0,0.0,0.0,0.0,0.507
186252,9606.ENSP00000215375 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000317780,False,pp,0.98,,0.0,0.0,0.0,0.929,0.246,0.0,0.663
186516,9606.ENSP00000355760 (pp) 9606.ENSP00000368166,pp,9606.ENSP00000355760 (pp) 9606.ENSP00000368166,False,pp,0.598,,0.0,0.0,0.0,0.0,0.107,0.0,0.569
186261,9606.ENSP00000230361 (pp) 9606.ENSP00000262340,pp,9606.ENSP00000230361 (pp) 9606.ENSP00000262340,False,pp,0.737,,0.0,0.0,0.0,0.086,0.0,0.0,0.725
186270,9606.ENSP00000237014 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000237014 (pp) 9606.ENSP00000500990,False,pp,0.753,,0.0,0.0,0.0,0.064,0.0,0.4,0.597
186525,9606.ENSP00000359819 (pp) 9606.ENSP00000369860,pp,9606.ENSP00000359819 (pp) 9606.ENSP00000369860,False,pp,0.737,,0.0,0.0,0.0,0.149,0.047,0.0,0.702
