SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
34305,9606.ENSP00000332809 (pp) 9606.ENSP00000467661,pp,9606.ENSP00000332809 (pp) 9606.ENSP00000467661,False,pp,0.832,,0.0,0.0,0.0,0.044,0.0,0.0,0.832
33795,9606.ENSP00000248668 (pp) 9606.ENSP00000312535,pp,9606.ENSP00000248668 (pp) 9606.ENSP00000312535,False,pp,0.546,,0.0,0.0,0.07,0.08,0.163,0.4,0.106
33798,9606.ENSP00000248668 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000248668 (pp) 9606.ENSP00000346839,False,pp,0.589,,0.0,0.0,0.0,0.0,0.0,0.0,0.589
33801,9606.ENSP00000252711 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000500990,False,pp,0.687,,0.0,0.0,0.0,0.0,0.0,0.65,0.144
34314,9606.ENSP00000341442 (pp) 9606.ENSP00000445786,pp,9606.ENSP00000341442 (pp) 9606.ENSP00000445786,False,pp,0.699,,0.0,0.0,0.0,0.523,0.0,0.0,0.395
33804,9606.ENSP00000252711 (pp) 9606.ENSP00000292907,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000292907,False,pp,0.874,,0.0,0.0,0.0,0.0,0.844,0.0,0.226
34317,9606.ENSP00000342793 (pp) 9606.ENSP00000343325,pp,9606.ENSP00000342793 (pp) 9606.ENSP00000343325,False,pp,0.643,,0.0,0.0,0.0,0.1,0.292,0.0,0.485
33807,9606.ENSP00000252711 (pp) 9606.ENSP00000478766,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000478766,False,pp,0.917,,0.0,0.0,0.0,0.335,0.52,0.744,0.107
33810,9606.ENSP00000252711 (pp) 9606.ENSP00000467262,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000467262,False,pp,0.92,,0.0,0.0,0.0,0.304,0.844,0.0,0.321
34323,9606.ENSP00000346196 (pp) 9606.ENSP00000381231,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000381231,False,pp,0.505,,0.0,0.0,0.0,0.061,0.0,0.0,0.495
33813,9606.ENSP00000252711 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000317780,False,pp,0.981,,0.0,0.0,0.0,0.694,0.876,0.0,0.541
33816,9606.ENSP00000252711 (pp) 9606.ENSP00000258424,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000258424,False,pp,0.984,,0.0,0.0,0.0,0.579,0.881,0.0,0.715
34329,9606.ENSP00000346196 (pp) 9606.ENSP00000485527,pp,9606.ENSP00000346196 (pp) 9606.ENSP00000485527,False,pp,0.541,,0.0,0.0,0.0,0.0,0.0,0.0,0.541
33819,9606.ENSP00000252711 (pp) 9606.ENSP00000483888,pp,9606.ENSP00000252711 (pp) 9606.ENSP00000483888,False,pp,0.995,,0.0,0.0,0.0,0.099,0.894,0.9,0.536
