SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
198659,9606.ENSP00000258424 (pp) 9606.ENSP00000355206,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000355206,False,pp,0.9,,0.0,0.0,0.0,0.081,0.844,0.0,0.363
198914,9606.ENSP00000381231 (pp) 9606.ENSP00000485527,pp,9606.ENSP00000381231 (pp) 9606.ENSP00000485527,False,pp,0.9,,0.0,0.0,0.047,0.0,0.9,0.0,0.0
198656,9606.ENSP00000248668 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000248668 (pp) 9606.ENSP00000346839,False,pp,0.589,,0.0,0.0,0.0,0.0,0.0,0.0,0.589
198662,9606.ENSP00000258424 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000346196,False,pp,0.916,,0.0,0.0,0.0,0.273,0.817,0.0,0.419
198923,9606.ENSP00000393541 (pp) 9606.ENSP00000398211,pp,9606.ENSP00000393541 (pp) 9606.ENSP00000398211,False,pp,0.585,,0.0,0.0,0.0,0.056,0.057,0.54,0.107
198671,9606.ENSP00000258424 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000458770,False,pp,0.944,,0.0,0.0,0.0,0.374,0.864,0.0,0.399
198926,9606.ENSP00000419087 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000419087 (pp) 9606.ENSP00000500990,False,pp,0.671,,0.0,0.0,0.0,0.0,0.0,0.65,0.099
198668,9606.ENSP00000258424 (pp) 9606.ENSP00000441126,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000441126,False,pp,0.933,,0.0,0.0,0.0,0.451,0.811,0.0,0.411
198929,9606.ENSP00000419087 (pp) 9606.ENSP00000441126,pp,9606.ENSP00000419087 (pp) 9606.ENSP00000441126,False,pp,0.998,,0.0,0.0,0.0,0.375,0.812,0.967,0.721
198935,9606.ENSP00000426809 (pp) 9606.ENSP00000467661,pp,9606.ENSP00000426809 (pp) 9606.ENSP00000467661,False,pp,0.536,,0.0,0.0,0.0,0.0,0.0,0.0,0.536
198677,9606.ENSP00000258424 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000419087,False,pp,0.969,,0.0,0.0,0.0,0.779,0.8,0.0,0.37
198932,9606.ENSP00000419087 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000419087 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.278,0.994,0.967,0.807
198683,9606.ENSP00000258424 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000317780,False,pp,0.999,,0.0,0.0,0.0,0.978,0.995,0.959,0.987
198680,9606.ENSP00000258424 (pp) 9606.ENSP00000281031,pp,9606.ENSP00000258424 (pp) 9606.ENSP00000281031,False,pp,0.972,,0.0,0.0,0.0,0.657,0.852,0.0,0.505
198689,9606.ENSP00000262304 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000262304 (pp) 9606.ENSP00000346839,False,pp,0.629,,0.0,0.0,0.0,0.0,0.292,0.0,0.498
198944,9606.ENSP00000429601 (pp) 9606.ENSP00000430024,pp,9606.ENSP00000429601 (pp) 9606.ENSP00000430024,False,pp,0.607,,0.0,0.0,0.051,0.049,0.592,0.0,0.06
198950,9606.ENSP00000430269 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000430269 (pp) 9606.ENSP00000458770,False,pp,0.663,,0.118,0.0,0.0,0.089,0.303,0.22,0.348
198692,9606.ENSP00000262340 (pp) 9606.ENSP00000426809,pp,9606.ENSP00000262340 (pp) 9606.ENSP00000426809,False,pp,0.507,,0.0,0.0,0.0,0.0,0.0,0.0,0.507
198698,9606.ENSP00000262340 (pp) 9606.ENSP00000263321,pp,9606.ENSP00000262340 (pp) 9606.ENSP00000263321,False,pp,0.575,,0.0,0.0,0.0,0.075,0.0,0.0,0.559
198959,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,False,pp,0.857,,0.0,0.0,0.0,0.075,0.048,0.65,0.591
198701,9606.ENSP00000262340 (pp) 9606.ENSP00000467661,pp,9606.ENSP00000262340 (pp) 9606.ENSP00000467661,False,pp,0.754,,0.0,0.0,0.0,0.0,0.0,0.0,0.754
198707,9606.ENSP00000262768 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000262768 (pp) 9606.ENSP00000346839,False,pp,0.713,,0.0,0.0,0.0,0.126,0.16,0.0,0.64
198962,9606.ENSP00000441126 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000441126 (pp) 9606.ENSP00000500990,False,pp,0.65,,0.0,0.0,0.0,0.0,0.0,0.65,0.0
198965,9606.ENSP00000441126 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000441126 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.444,0.991,0.967,0.568
198968,9606.ENSP00000458770 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000458770 (pp) 9606.ENSP00000500990,False,pp,0.679,,0.0,0.0,0.0,0.0,0.0,0.65,0.123
198719,9606.ENSP00000264039 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000264039 (pp) 9606.ENSP00000346839,False,pp,0.654,,0.0,0.0,0.0,0.105,0.052,0.0,0.625
198716,9606.ENSP00000264039 (pp) 9606.ENSP00000416741,pp,9606.ENSP00000264039 (pp) 9606.ENSP00000416741,False,pp,0.554,,0.0,0.0,0.0,0.0,0.0,0.4,0.287
198728,9606.ENSP00000265753 (pp) 9606.ENSP00000320886,pp,9606.ENSP00000265753 (pp) 9606.ENSP00000320886,False,pp,0.602,,0.0,0.0,0.0,0.0,0.0,0.0,0.602
198737,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,False,pp,0.632,,0.0,0.0,0.0,0.078,0.618,0.0,0.0
198743,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,False,pp,0.766,,0.0,0.0,0.0,0.0,0.0,0.65,0.359
198746,9606.ENSP00000281031 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000500990,False,pp,0.658,,0.0,0.0,0.0,0.0,0.0,0.65,0.063
198749,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,False,pp,0.976,,0.0,0.0,0.0,0.73,0.845,0.0,0.482
198755,9606.ENSP00000281031 (pp) 9606.ENSP00000355206,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000355206,False,pp,0.996,,0.0,0.0,0.0,0.0,0.878,0.944,0.564
198752,9606.ENSP00000281031 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000419087,False,pp,0.996,,0.0,0.0,0.0,0.219,0.811,0.944,0.607
198758,9606.ENSP00000281031 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000346196,False,pp,0.998,,0.0,0.0,0.0,0.172,0.932,0.944,0.556
198761,9606.ENSP00000281031 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.622,0.966,0.944,0.474
198764,9606.ENSP00000281031 (pp) 9606.ENSP00000441126,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000441126,False,pp,0.999,,0.0,0.0,0.0,0.29,0.914,0.944,0.836
198773,9606.ENSP00000287152 (pp) 9606.ENSP00000301332,pp,9606.ENSP00000287152 (pp) 9606.ENSP00000301332,False,pp,0.609,,0.0,0.0,0.0,0.067,0.0,0.54,0.162
198782,9606.ENSP00000289013 (pp) 9606.ENSP00000343325,pp,9606.ENSP00000289013 (pp) 9606.ENSP00000343325,False,pp,0.877,,0.0,0.0,0.0,0.079,0.0,0.0,0.872
198791,9606.ENSP00000293879 (pp) 9606.ENSP00000421801,pp,9606.ENSP00000293879 (pp) 9606.ENSP00000421801,False,pp,0.868,,0.0,0.0,0.0,0.061,0.855,0.0,0.112
198539,9606.ENSP00000040877 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000040877 (pp) 9606.ENSP00000458770,False,pp,0.531,,0.0,0.0,0.0,0.047,0.497,0.0,0.102
198797,9606.ENSP00000306884 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000306884 (pp) 9606.ENSP00000346839,False,pp,0.604,,0.0,0.0,0.0,0.042,0.0,0.0,0.604
198806,9606.ENSP00000311344 (pp) 9606.ENSP00000368166,pp,9606.ENSP00000311344 (pp) 9606.ENSP00000368166,False,pp,0.524,,0.0,0.0,0.0,0.0,0.0,0.5,0.088
198809,9606.ENSP00000312535 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000312535 (pp) 9606.ENSP00000346839,False,pp,0.601,,0.0,0.0,0.0,0.0,0.0,0.0,0.601
198815,9606.ENSP00000314724 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000314724 (pp) 9606.ENSP00000346839,False,pp,0.584,,0.0,0.0,0.0,0.085,0.0,0.5,0.164
198818,9606.ENSP00000317780 (pp) 9606.ENSP00000355206,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000355206,False,pp,0.871,,0.0,0.0,0.0,0.079,0.83,0.0,0.246
198821,9606.ENSP00000317780 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000419087,False,pp,0.884,,0.0,0.0,0.0,0.184,0.8,0.0,0.348
198827,9606.ENSP00000317780 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000317780 (pp) 9606.ENSP00000346196,False,pp,0.926,,0.0,0.0,0.0,0.416,0.812,0.0,0.385
