gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000187601.5,MAGEH1,1350.448066554997,-4.305085187397903,0.1476732481246559,6.239772436208286e-188,5.642626214063152e-184
ENSG00000206538.9,VGLL3,1145.702770774542,-4.230745378929567,0.1541600591521964,1.069065997605402e-166,4.833781908172826e-163
ENSG00000186340.17,THBS2,973.411812576482,-2.957501824895096,0.1420490813035705,1.790699258645305e-97,4.048323348982374e-94
ENSG00000184486.10,POU3F2,2169.335381128504,-2.577182545138565,0.1460100657846448,5.286004111498857e-71,7.966889196714027e-68
ENSG00000152192.8,POU4F1,492.3035725615284,-3.345112992815227,0.1955284506534319,7.8387475871334e-67,1.012654206149248e-63
ENSG00000132688.11,NES,7599.113999649341,-1.516738803659325,0.0905073536697913,3.112397856483006e-64,3.518176727021978e-61
ENSG00000178033.6,CALHM5,313.0344627320159,-3.388142281654572,0.2206171431826448,2.428991780539866e-54,2.440596963491335e-51
ENSG00000182916.8,TCEAL7,3666.20402539997,-1.392881521141606,0.0926598843569274,6.985197143101504e-53,6.015917882387323e-50
ENSG00000076716.9,GPC4,2282.503755607978,-1.631738079053983,0.109537901721804,2.153169029763973e-51,1.770100685105055e-48
ENSG00000106153.13,CHCHD2,1786.139812283588,-1.694009138700501,0.1145632869943928,1.130043610062945e-50,8.886073361564528e-48
ENSG00000095596.12,CYP26A1,389.7606076468607,-7.17837102105281,0.4802625342789587,3.759822369292282e-50,2.833339473792509e-47
ENSG00000137642.13,SORL1,1729.552720108094,-1.532015810466033,0.1068545060463252,8.413032432421421e-48,5.635485354547179e-45
ENSG00000112837.17,TBX18,635.4286215605925,-2.161644801799062,0.1555766866853659,3.702728837901159e-45,2.39169834865287e-42
ENSG00000105855.10,ITGB8,6687.448410899099,-1.209849660433929,0.0888160621591472,6.012800691531734e-43,3.624917110234763e-40
ENSG00000127920.6,GNG11,1617.549791803398,-1.425255516841766,0.1072613888784632,1.84283750060727e-41,1.041548719874471e-38
ENSG00000187553.10,CYP26C1,187.1276505801851,-5.515893512352426,0.4228943305913077,3.248290348977218e-39,1.780259977321271e-36
ENSG00000116132.12,PRRX1,1551.552506999198,-1.86688896730556,0.1456142928090543,7.55663345466204e-39,4.019684490029932e-36
ENSG00000196263.8,ZNF471,191.6601324886026,-3.479939900105084,0.2757555350827291,1.334676783575414e-37,6.705267863262484e-35
ENSG00000102172.16,SMS,5022.339208077586,-1.061084929012633,0.0878972351083697,1.230155470833169e-34,5.562147961372175e-32
ENSG00000121570.13,DPPA4,203.4385949728118,-3.08478535147912,0.2563937537136717,1.802806671590808e-34,7.763228919616986e-32
ENSG00000291093.1,SVIL-AS1,226.1445948321922,-2.852274893152163,0.2375438675297153,2.059099985086525e-34,8.660670309366251e-32
ENSG00000149970.16,CNKSR2,1093.161811604674,-1.460121559654449,0.1219851843515971,3.306611422607132e-34,1.359167595210741e-31
ENSG00000113209.9,PCDHB5,830.9471988548933,-1.53901448982181,0.1294152207418405,8.482368241553008e-34,3.335045913407124e-31
ENSG00000157404.17,KIT,587.9833038179806,-1.780242863047054,0.1511508337111953,3.005679699864284e-33,1.156611128760542e-30
ENSG00000102349.18,KLF8,146.0039776968546,-4.95540749652911,0.4171918978273192,3.703016496316946e-33,1.395265757341423e-30
ENSG00000105825.14,TFPI2,965.4202005137732,-1.464042763884116,0.1253435880715291,1.07504606169141e-32,3.888656614350168e-30
ENSG00000075213.11,SEMA3A,2349.867326383363,-1.282294625348532,0.1103438384224611,2.346235286737427e-32,8.160386806910215e-30
ENSG00000147488.13,ST18,1598.106831357987,-1.65177152915561,0.1425298298961368,2.877249686426062e-32,9.818478835604106e-30
ENSG00000104722.14,NEFM,1919.776072987936,-1.495165811292016,0.1296689784888704,5.868423037792964e-32,1.929750892027701e-29
ENSG00000008196.13,TFAP2B,229.7052024810139,-3.366516500834587,0.2924427637533571,7.253434684132962e-32,2.342600351736228e-29
ENSG00000196767.9,POU3F4,389.4514818603749,-2.134527169093661,0.1856828330940304,7.752821518051653e-32,2.417543620266935e-29
ENSG00000166681.14,BEX3,9679.07613528278,-0.976104869830881,0.0855405744039238,3.187361598396789e-31,9.770613876034631e-29
ENSG00000121057.13,AKAP1,1572.220962491914,-1.23033978795047,0.1089215176836239,9.984328130970814e-31,2.912525138334485e-28
ENSG00000144834.14,TAGLN3,6271.202458812191,-1.092494501559141,0.0989626284343878,1.989086280011073e-29,5.71025626353655e-27
